task,model,repeat,outer_fold,n_train,n_test,best_inner_f1_macro,best_parameters,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity,negative_predictive_value,positive_predictive_value,analysis_provenance
task_a_three_class,random_forest,0,4,196,50,0.9328682871675527,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.8136645962732919,0.8621118012422361,0.7999999999999999,0.23880534475537232,0.7692307692307693,1.0,0.8695652173913043,1.0,0.4,0.5714285714285714,1.0,1.0,1.0,0.9847222222222222,0.1424343998864042,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,1,0,196,50,0.9872776622776623,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666667,0.17447704517765647,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9969444444444444,0.09310344123063329,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,1,0,196,50,0.9869545659019343,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9337294142172191,0.9404752970606629,0.9333333333333332,0.17473838071654843,0.9047619047619048,0.95,0.926829268292683,0.9,0.9,0.9,1.0,0.95,0.9743589743589743,0.9980555555555556,0.08708765355300122,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,1,0,196,50,0.9827766309313164,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8786192274564368,0.8987875173921686,0.8666666666666666,0.21125428851396616,0.8260869565217391,0.95,0.8837209302325582,0.875,0.7,0.7777777777777778,1.0,0.95,0.9743589743589743,0.9877777777777778,0.129023,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,1,1,196,50,0.9471443052964792,"{""model__C"": 0.2, ""model__l1_ratio"": 0.5, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9521531100478469,0.9607655502392345,0.9666666666666667,0.14948540083079032,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.06762149249669049,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,1,1,196,50,0.9643700375247231,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.09176607603162606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022658571673293392,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,1,1,196,50,0.9374378788852474,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.9743260590500641,0.9797175866495508,0.9666666666666667,0.1668920909925942,0.9523809523809523,1.0,0.975609756097561,1.0,0.9,0.9473684210526315,1.0,1.0,1.0,1.0,0.07927070850867454,,,,,,,,raw_cel_rma
task_a_three_class,elastic_net,1,2,196,50,0.9323931269011361,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.9128870112851807,0.9215513700639559,0.9333333333333332,0.2622465698573996,0.9444444444444444,0.85,0.8947368421052632,0.7692307692307693,1.0,0.8695652173913043,1.0,0.95,0.9743589743589743,0.9900000000000001,0.13600147913779095,,,,,,,,raw_cel_rma
task_a_three_class,linear_svm,1,2,196,50,0.9499322336132349,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.11649028133676718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03996921971370635,,,,,,,,raw_cel_rma
task_a_three_class,random_forest,1,2,196,50,0.956106193176721,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""univariate__k"": 20, ""variance_quantile__quantile"": 0.5}",0.9070753807595913,0.9200694042799304,0.9,0.20114315190026344,0.8636363636363636,0.95,0.9047619047619048,0.8888888888888888,0.8,0.8421052631578947,1.0,0.95,0.9743589743589743,0.9922222222222222,0.10796041558303818,,,,,,,,raw_cel_rma
