task,repeat,outer_fold,panel_size,effective_gene_count,n_train,n_test,analysis_provenance,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity,negative_predictive_value,positive_predictive_value
task_a_three_class,0,0,3,3,196,50,raw_cel_rma,0.9337294142172191,0.9404752970606629,0.9333333333333332,0.23399586428571023,0.9047619047619048,0.95,0.926829268292683,0.9,0.9,0.9,1.0,0.95,0.9743589743589743,0.9869444444444445,0.1113630920232708,,,,,,,
task_a_three_class,0,0,5,5,196,50,raw_cel_rma,0.9337294142172191,0.9404752970606629,0.9333333333333332,0.20823192816637504,0.9047619047619048,0.95,0.926829268292683,0.9,0.9,0.9,1.0,0.95,0.9743589743589743,0.9908333333333333,0.10677296204293193,,,,,,,
task_a_three_class,0,0,10,10,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.2222134144594617,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9874999999999999,0.1073500990447052,,,,,,,
task_a_three_class,0,0,15,15,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.22644655972690406,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9869444444444445,0.10892099120156484,,,,,,,
task_a_three_class,0,0,20,20,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.21818050715166645,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9874999999999999,0.10853620748841482,,,,,,,
task_a_three_class,0,0,full_nonzero,20,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.21818050715166645,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9874999999999999,0.10853620748841482,,,,,,,
task_a_three_class,0,0,nested_selected_policy,10,196,50,raw_cel_rma,0.958913308913309,0.9602197802197802,0.9666666666666667,0.2222134144594617,0.95,0.95,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.95,0.9743589743589743,0.9874999999999999,0.1073500990447052,,,,,,,
task_a_three_class,0,1,3,3,196,50,raw_cel_rma,0.9355089355089355,0.9407925407925407,0.9499999999999998,0.21164605370546455,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,1.0,0.95,0.9743589743589743,0.9922222222222222,0.10151400235934746,,,,,,,
task_a_three_class,0,1,5,5,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.16638756669376495,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.9955555555555556,0.0823868847247071,,,,,,,
task_a_three_class,0,1,10,10,196,50,raw_cel_rma,0.9267399267399267,0.9406593406593408,0.9333333333333332,0.12693994450846824,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9972222222222222,0.06152832972007344,,,,,,,
task_a_three_class,0,1,15,15,196,50,raw_cel_rma,0.9267399267399267,0.9406593406593408,0.9333333333333332,0.1244884638244166,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9972222222222222,0.06112768498277057,,,,,,,
task_a_three_class,0,1,20,20,196,50,raw_cel_rma,0.9267399267399267,0.9406593406593408,0.9333333333333332,0.12346705592274007,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9972222222222222,0.060393688783971375,,,,,,,
task_a_three_class,0,1,full_nonzero,47,196,50,raw_cel_rma,0.9267399267399267,0.9406593406593408,0.9333333333333332,0.12046257761856127,0.9473684210526315,0.9,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428571,1.0,1.0,1.0,0.9972222222222222,0.05911768461321318,,,,,,,
task_a_three_class,0,1,nested_selected_policy,5,196,50,raw_cel_rma,0.9521531100478469,0.9607655502392345,0.9666666666666667,0.16638756669376495,1.0,0.9,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.9955555555555556,0.0823868847247071,,,,,,,
task_a_three_class,0,2,3,3,198,48,raw_cel_rma,1.0,1.0,1.0,0.24230165472598378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10422724320957921,,,,,,,
task_a_three_class,0,2,5,5,198,48,raw_cel_rma,1.0,1.0,1.0,0.19634345406368128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08079381437167411,,,,,,,
task_a_three_class,0,2,10,10,198,48,raw_cel_rma,1.0,1.0,1.0,0.1584281788004511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0659163400765239,,,,,,,
task_a_three_class,0,2,15,15,198,48,raw_cel_rma,0.9751179751179752,0.9793811668811668,0.9824561403508771,0.14694853518449358,1.0,0.9473684210526315,0.972972972972973,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.0612871805537199,,,,,,,
task_a_three_class,0,2,20,20,198,48,raw_cel_rma,0.9511784511784511,0.9590698653198654,0.9649122807017544,0.15665287308849293,1.0,0.8947368421052632,0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.0685703215988234,,,,,,,
task_a_three_class,0,2,full_nonzero,47,198,48,raw_cel_rma,0.9511784511784511,0.9590698653198654,0.9649122807017544,0.14815656399200508,1.0,0.8947368421052632,0.9444444444444444,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.06506473777314575,,,,,,,
task_a_three_class,0,2,nested_selected_policy,10,198,48,raw_cel_rma,1.0,1.0,1.0,0.1584281788004511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0659163400765239,,,,,,,
task_a_three_class,0,3,3,3,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.1969624922920882,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9919237749546279,0.08986938692267905,,,,,,,
task_a_three_class,0,3,5,5,198,48,raw_cel_rma,0.9751179751179752,0.9793811668811668,0.9824561403508771,0.13976971806231492,1.0,0.9473684210526315,0.972972972972973,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.054423082916241546,,,,,,,
task_a_three_class,0,3,10,10,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.12492698956461452,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9993950393224441,0.053359318548500366,,,,,,,
task_a_three_class,0,3,15,15,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.13465338911122327,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9981851179673322,0.0628968796357837,,,,,,,
task_a_three_class,0,3,20,20,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.12046754853022379,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9993950393224441,0.05306534095847045,,,,,,,
task_a_three_class,0,3,full_nonzero,47,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.11345912021002548,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9993950393224441,0.04848699222958919,,,,,,,
task_a_three_class,0,3,nested_selected_policy,10,198,48,raw_cel_rma,0.9575741154688524,0.9585478335478337,0.9649122807017543,0.12492698956461452,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9473684210526315,0.972972972972973,0.9993950393224441,0.053359318548500366,,,,,,,
task_a_three_class,0,4,3,3,196,50,raw_cel_rma,0.947089947089947,0.9587301587301588,0.9333333333333332,0.28593244156310793,0.9090909090909091,1.0,0.9523809523809523,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,0.9766666666666666,0.13480638982614612,,,,,,,
task_a_three_class,0,4,5,5,196,50,raw_cel_rma,0.9229781771501925,0.9391527599486521,0.9166666666666666,0.2765766670648684,0.9047619047619048,0.95,0.926829268292683,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9727777777777779,0.14838887921221194,,,,,,,
task_a_three_class,0,4,10,10,196,50,raw_cel_rma,0.8632010943912448,0.8946648426812586,0.85,0.2655040214757549,0.8260869565217391,0.95,0.8837209302325582,0.8571428571428571,0.6,0.7058823529411765,1.0,1.0,1.0,0.9752777777777778,0.1443425004141059,,,,,,,
task_a_three_class,0,4,15,15,196,50,raw_cel_rma,0.8941798941798943,0.9174603174603174,0.8833333333333333,0.25461942994476283,0.8636363636363636,0.95,0.9047619047619048,0.875,0.7,0.7777777777777778,1.0,1.0,1.0,0.9788888888888888,0.13673952028809216,,,,,,,
task_a_three_class,0,4,20,20,196,50,raw_cel_rma,0.9229781771501925,0.9391527599486521,0.9166666666666666,0.25415927584875075,0.9047619047619048,0.95,0.926829268292683,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.9794444444444445,0.13626118108915022,,,,,,,
