task,model,metric,mean,median,standard_deviation,ci_lower,ci_upper,bootstrap_iterations,analysis_provenance
task_a_three_class,elastic_net,f1_macro,0.9580989013231003,0.9593897984098185,0.013782099787987789,0.9291432710348121,0.982001530880431,1000,raw_cel_rma
task_a_three_class,elastic_net,balanced_accuracy,0.9595695035394998,0.9602048857368007,0.014158213567831548,0.9298388488587824,0.9841232531575104,1000,raw_cel_rma
task_a_three_class,elastic_net,log_loss,0.1703970427936244,0.16970748259995158,0.01642836183947295,0.1416663721516165,0.2060806526941651,1000,raw_cel_rma
task_a_three_class,elastic_net,roc_auc_ovr_macro,0.9947135710407315,0.9949579829834726,0.002964399264313947,0.9879036671341489,0.9993974970663478,1000,raw_cel_rma
task_a_three_class,elastic_net,brier_score_multiclass,0.08077400691342386,0.08089439482701277,0.011546904605560708,0.05970182566721779,0.1057162667660369,1000,raw_cel_rma
task_a_three_class,linear_svm,f1_macro,0.9728242450018543,0.973218564730863,0.011288081815648218,0.9497764050260648,0.9940585447449123,1000,raw_cel_rma
task_a_three_class,linear_svm,balanced_accuracy,0.9696302185995651,0.9704197830334883,0.013154857706646048,0.9425520780898688,0.9934640522875817,1000,raw_cel_rma
task_a_three_class,linear_svm,log_loss,0.13469529002009176,0.13409895256404158,0.012779628185289355,0.11169421023899048,0.16169433145086512,1000,raw_cel_rma
task_a_three_class,linear_svm,roc_auc_ovr_macro,0.9990327764774504,0.9991233196515155,0.0006245547640304009,0.997612095217376,0.9999591084105773,1000,raw_cel_rma
task_a_three_class,linear_svm,brier_score_multiclass,0.053537149679952774,0.05311304867413324,0.009423309413432054,0.0364558561113015,0.07404416607759634,1000,raw_cel_rma
task_a_three_class,random_forest,f1_macro,0.9571001659626718,0.9578265361832992,0.014068749154816899,0.9258209423636923,0.9837360617642803,1000,raw_cel_rma
task_a_three_class,random_forest,balanced_accuracy,0.94981235801695,0.9507200554928004,0.016538448184922176,0.9143274808241174,0.9807783018867925,1000,raw_cel_rma
task_a_three_class,random_forest,log_loss,0.16744508735416333,0.16758664665841305,0.015181748509024694,0.13813315721627556,0.19742905376893288,1000,raw_cel_rma
task_a_three_class,random_forest,roc_auc_ovr_macro,0.9962154985441473,0.9964299069057048,0.001950006430530865,0.9914352241941707,0.9993373069351508,1000,raw_cel_rma
task_a_three_class,random_forest,brier_score_multiclass,0.0831051649083584,0.0831505882551474,0.011577333673614607,0.06114109402856206,0.10578541556377251,1000,raw_cel_rma
