"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","gene_set","database"
"GO:0035264","multicellular organism growth",156,0.305671661860638,1.47994086746558,0.00348402993633666,0.0191080648061197,0.0131792100519903,2852,"tags=24%, list=15%, signal=20%","10365/57493/23371/1028/25937/5339/5781/144165/84159/26058/546/140606/154/2690/6776/1281/153/2131/25932/84879/137964/5930/4882/6774/5727/472/677/4853/25836/6608/2033/83931/320/6338/2648/9518/321","adjacent_vs_healthy","GO_BP_ranked"
"GO:0072189","ureter development",18,0.60577551723684,1.84263083748249,0.00349539316809148,0.0191533911099055,0.0132104724997858,3677,"tags=56%, list=20%, signal=45%","2294/652/4774/130497/8854/9096/64321/30812/5979/84445","adjacent_vs_healthy","GO_BP_ranked"
"GO:1901201","regulation of extracellular matrix assembly",19,0.571899228817042,1.77334357421336,0.00351854146721791,0.0192631574923595,0.0132861805437812,3164,"tags=63%, list=17%, signal=52%","7049/28984/183/11117/90102/23122/84168/3037/23332/10459/1605/7040","adjacent_vs_healthy","GO_BP_ranked"
"GO:0043331","response to dsRNA",53,0.426873435961131,1.68177203537105,0.00353664635555183,0.0193451425873149,0.0133427272845691,2378,"tags=26%, list=13%, signal=23%","857/4792/170506/3434/11213/23180/81035/4790/3764/1653/23586/130132/340061/64135","adjacent_vs_healthy","GO_BP_ranked"
"GO:0090504","epiboly",41,0.461445277897656,1.73062711803578,0.00355027762547071,0.0193682842039139,0.0133586885150336,3118,"tags=41%, list=17%, signal=35%","3491/1839/1289/2316/23671/10979/3688/3678/83478/90102/3693/23122/23332/977/10630/94/960","adjacent_vs_healthy","GO_BP_ranked"
"GO:0070507","regulation of microtubule cytoskeleton organization",158,0.307028885028683,1.49674981011025,0.00354939245751265,0.0193682842039139,0.0133586885150336,2408,"tags=25%, list=13%, signal=22%","1778/1003/4131/11170/89795/89927/5310/55755/50861/1946/25999/157922/26146/4130/6314/1639/6249/636/11076/4133/5563/256364/91782/90102/4135/50810/85458/11075/23354/2258/324/58526/23122/55605/4281/81551/23271/22911/4137/23332","adjacent_vs_healthy","GO_BP_ranked"
"GO:0045137","development of primary sexual characteristics",231,0.280172408564723,1.4299816703797,0.00354984140327679,0.0193682842039139,0.0133586885150336,1598,"tags=15%, list=9%, signal=14%","6423/9510/6422/6586/4313/23414/2/9353/2296/8648/1051/2316/8531/4323/7026/84159/3625/3791/5806/546/2241/1545/9985/7100/10468/130497/7482/5156/2069/2674/7130/23598/4882/2309","adjacent_vs_healthy","GO_BP_ranked"
"GO:0006740","NADPH regeneration",23,-0.579225265860638,-1.80179214437719,0.00356613547985324,0.0194376396833976,0.0134065243603505,4576,"tags=43%, list=25%, signal=33%","57103/64223/10840/5634/7157/229/25796/64080/51071/6120","adjacent_vs_healthy","GO_BP_ranked"
"GO:0032365","intracellular lipid transport",46,-0.46402073088646,-1.68446606987876,0.00357692575140624,0.0194792758321074,0.0134352416352379,3353,"tags=35%, list=18%, signal=29%","1374/5826/9619/9885/116150/20/1376/738/81537/5825/55207/440026/788/64801/6342/54762","adjacent_vs_healthy","GO_BP_ranked"
"GO:0030168","platelet activation",139,0.316547495439515,1.50056621368153,0.00358017382028894,0.0194798013936672,0.0134356041254357,3147,"tags=28%, list=17%, signal=23%","7056/22915/7094/6403/2316/5270/3356/10398/375033/3043/1511/11117/3572/60/1281/84034/152/558/5156/71/7414/6288/3717/5023/26276/1465/6722/958/3569/1608/3611/953/7450/10630/79987/10019/4627/5196/5359","adjacent_vs_healthy","GO_BP_ranked"
"GO:0051650","establishment of vesicle localization",196,-0.313621071277492,-1.46120028650979,0.00358869550118595,0.0194918513996752,0.0134439152528009,3492,"tags=32%, list=19%, signal=26%","55330/27243/4033/51248/5663/10015/8825/8773/388552/7251/157769/29058/10987/8195/10640/10079/27095/5071/5871/59349/6386/79090/8301/3676/146439/51693/5873/58485/1020/8027/5537/126003/22920/64284/8766/5048/54536/434/6814/9525/55062/9001/92558/8452/54874/10972/79443/9342/22906/1785/83930/55773/55763/80128/55327/7879/55435/5861/55686/2647/282991/51128","adjacent_vs_healthy","GO_BP_ranked"
"GO:0016053","organic acid biosynthetic process",308,-0.285667130610887,-1.41047452593613,0.00358663053417782,0.0194918513996752,0.0134439152528009,3435,"tags=26%, list=19%, signal=22%","4942/8647/22933/873/1109/50487/116519/50640/84245/10394/1559/59344/5092/9971/9885/5352/3990/11343/570/58478/5831/10464/1906/246/122945/1543/201562/162417/11160/26063/189/84869/5562/5832/347862/55902/4552/5009/171586/23600/55256/5571/37/875/2744/157506/10196/27306/22937/29108/216/114883/11001/65263/10005/1907/122970/7923/344/127281/4048/7358/7360/8644/51074/18/51141/6296/10062/84105/5825/11019/4259/10728/22928/2746/8803/23417/6342/54995/55825","adjacent_vs_healthy","GO_BP_ranked"
"GO:0007033","vacuole organization",225,-0.307809942809382,-1.46588479574197,0.00360298298321185,0.0195522720098616,0.0134855885421265,3653,"tags=28%, list=20%, signal=22%","23232/79142/57533/55737/27243/51151/5663/23256/4534/401548/6048/57132/3292/5119/5868/26100/8987/51172/84971/3257/3988/22863/5899/128866/51361/2055/83460/9525/55062/8804/115201/137886/9140/10043/25978/55004/55858/84938/54664/56270/92421/25989/7879/9474/51382/8678/1386/5861/51510/55207/440026/51552/8723/64422/84317/9821/29911/81631/11345/90410/51375/26175","adjacent_vs_healthy","GO_BP_ranked"
"GO:0045685","regulation of glial cell differentiation",76,0.382681587955194,1.61419101040143,0.00361353068019154,0.0195923097668982,0.0135132033746775,3164,"tags=34%, list=17%, signal=28%","90865/3949/5764/5270/7852/23405/23500/9444/2043/3400/274/3572/7133/11221/5803/3569/146433/26011/7732/1605/7097/10419/6900/4192/650/7040","adjacent_vs_healthy","GO_BP_ranked"
"GO:0008406","gonad development",226,0.28510655397361,1.45510378161392,0.00365823143315349,0.0197999373803167,0.0136564082443282,2692,"tags=21%, list=15%, signal=18%","6423/9510/6422/6586/4313/23414/2/9353/2296/8648/1051/2316/8531/4323/7026/84159/3625/3791/5806/546/2241/1545/9985/7100/10468/130497/7482/5156/2069/2674/7130/23598/4882/2309/472/23411/5872/25976/57728/8893/6092/3552/3624/7022/3952/7812/30812","adjacent_vs_healthy","GO_BP_ranked"
"GO:0051056","regulation of small GTPase mediated signal transduction",293,0.266407321442643,1.39499973465243,0.00365654215259075,0.0197999373803167,0.0136564082443282,3170,"tags=24%, list=17%, signal=20%","57493/54922/57636/9353/9448/10395/7074/7010/4653/50650/9265/10252/10253/152273/57568/50861/11214/10979/27/23348/3688/79658/1281/83892/115557/23189/5863/9411/50937/90627/5649/5922/139818/83478/25959/604/117178/85440/23075/9922/79567/1902/22899/23229/8087/4649/1123/4853/392/4803/79109/5962/57580/5662/22898/4650/8216/84952/23365/2828/57572/9909/58504/2255/10928/7052/8567/9815/57480/9828/26037","adjacent_vs_healthy","GO_BP_ranked"
"GO:0010470","regulation of gastrulation",15,0.619728997684879,1.78715993608971,0.003697304948455,0.0199843420415779,0.0137835957847718,3550,"tags=60%, list=19%, signal=49%","60436/130497/56983/90102/23122/26011/23332/1605/3170","adjacent_vs_healthy","GO_BP_ranked"
"GO:0031111","negative regulation of microtubule polymerization or depolymerization",44,0.447460317950216,1.69261518705457,0.00369876837009628,0.0199843420415779,0.0137835957847718,2408,"tags=39%, list=13%, signal=34%","1003/4131/89795/89927/25999/6314/4133/50810/11075/2258/324/58526/23122/4281/23271/22911/23332","adjacent_vs_healthy","GO_BP_ranked"
"GO:0033631","cell-cell adhesion mediated by integrin",18,0.604263103339683,1.83803041965998,0.00373784557288982,0.0201778371057048,0.0139170531557837,2648,"tags=50%, list=14%, signal=43%","8613/65125/5420/3688/3678/23075/9780/7412/10563","adjacent_vs_healthy","GO_BP_ranked"
"GO:0032786","positive regulation of DNA-templated transcription, elongation",57,-0.44192154924816,-1.67976203340891,0.00374126488172619,0.0201786721064132,0.0139176290722798,4164,"tags=44%, list=23%, signal=34%","80237/11143/219541/22936/643376/51586/29079/3150/6829/9443/9439/170394/22916/9477/6827/9282/54797/55090/114825/4686/90390/51003/9412/400569/55837","adjacent_vs_healthy","GO_BP_ranked"
"GO:0072540","T-helper 17 cell lineage commitment",25,0.550325363604666,1.82476013623689,0.00374813278021732,0.020198089550587,0.0139310216673979,2640,"tags=48%, list=14%, signal=41%","9021/6046/3716/6776/3572/23476/6774/84695/3569/4976/3956/2033","adjacent_vs_healthy","GO_BP_ranked"
"GO:0045619","regulation of lymphocyte differentiation",219,0.286063312105336,1.45500629481715,0.00375662202367551,0.0202262027250334,0.0139504118795946,2727,"tags=22%, list=15%, signal=19%","6422/3726/7704/2737/4323/8943/6935/652/7048/6046/29102/8651/639/23240/6776/6597/301/6604/60/6601/57492/10892/678/23476/558/3142/11221/10288/6461/55274/604/5591/2309/1378/84695/6522/677/8289/6666/4976/3956/2621/55193/3624/2033/1540/2547/2648/9655","adjacent_vs_healthy","GO_BP_ranked"
"GO:0042147","retrograde transport, endosome to Golgi",93,-0.390184368961319,-1.64364424299986,0.00377486862285777,0.0202927786960022,0.0139963306429396,2508,"tags=28%, list=14%, signal=24%","10079/5071/26088/51272/144717/9341/150786/9367/127845/10490/51560/738/8724/400/55773/29934/7879/84910/6643/55207/27236/51552/51699/8677/25938/9043","adjacent_vs_healthy","GO_BP_ranked"
"GO:0070098","chemokine-mediated signaling pathway",75,0.385669014116936,1.6260339168042,0.00377555338948432,0.0202927786960022,0.0139963306429396,1514,"tags=20%, list=8%, signal=18%","6586/57007/2532/9353/2296/6376/65125/6366/7852/6387/6776/6347/1230/3717/6373","adjacent_vs_healthy","GO_BP_ranked"
"GO:0034109","homotypic cell-cell adhesion",101,0.348508706657317,1.57306617682061,0.00379234200902553,0.0203653049155402,0.0140463534103557,3019,"tags=30%, list=16%, signal=25%","8613/22915/7094/2316/5270/3356/10398/375033/3043/1511/3716/11117/3572/60/84034/5156/71/7414/3717/26276/1465/3569/5962/3611/8600/953/10630/10076/10019/4627","adjacent_vs_healthy","GO_BP_ranked"
"GO:1900746","regulation of vascular endothelial growth factor signaling pathway",24,0.546392385612289,1.79279698546801,0.0037973675523202,0.0203707655732596,0.0140501197339387,2123,"tags=42%, list=11%, signal=37%","25960/1634/10253/64094/11117/3688/11156/147372/57608/967","adjacent_vs_healthy","GO_BP_ranked"
"GO:0003209","cardiac atrium morphogenesis",28,0.521677122854569,1.76806545282826,0.00379995028409129,0.0203707655732596,0.0140501197339387,2393,"tags=32%, list=13%, signal=28%","3491/57493/23493/2022/659/5629/90/4853/6608","adjacent_vs_healthy","GO_BP_ranked"
"GO:0030195","negative regulation of blood coagulation",49,0.437862366088521,1.70887197225207,0.00380549012014534,0.0203749141383907,0.0140529810813243,1724,"tags=20%, list=9%, signal=19%","7056/710/7035/5054/5327/7057/5270/5627/5156/2191","adjacent_vs_healthy","GO_BP_ranked"
"GO:0070570","regulation of neuron projection regeneration",29,0.495192168369922,1.70072046802227,0.00380731691147731,0.0203749141383907,0.0140529810813243,1023,"tags=28%, list=6%, signal=26%","5396/7070/2316/5764/2043/6696/22876/3480","adjacent_vs_healthy","GO_BP_ranked"
"GO:1902686","mitochondrial outer membrane permeabilization involved in programmed cell death",36,-0.494263522506674,-1.71815337303582,0.00384989609839398,0.0205671631669604,0.0141855790369791,4671,"tags=56%, list=25%, signal=42%","400916/665/54978/2139/598/292/581/90529/637/10105/2729/255027/293/9026/10449/1386/578/93974/28978/282991","adjacent_vs_healthy","GO_BP_ranked"
"GO:0046148","pigment biosynthetic process",55,-0.44180056071398,-1.66670073041927,0.00384742239380235,0.0205671631669604,0.0141855790369791,4785,"tags=44%, list=26%, signal=32%","4157/1497/51629/6490/7299/4935/1352/54977/81853/51151/200205/3658/6536/434/706/51522/210/23596/23456/93974/28978/28982/10857/1371","adjacent_vs_healthy","GO_BP_ranked"
"GO:1900047","negative regulation of hemostasis",50,0.437625656338266,1.71186761292306,0.00386868758410125,0.0206497046263643,0.0142425095133261,1724,"tags=20%, list=9%, signal=18%","7056/710/7035/5054/5327/7057/5270/5627/5156/2191","adjacent_vs_healthy","GO_BP_ranked"
"GO:0034727","piecemeal microautophagy of the nucleus",18,-0.625806491354382,-1.83829325227011,0.00390024914322171,0.0208002070355939,0.014346314000316,2911,"tags=50%, list=16%, signal=42%","401548/84971/115201/9140/84938/25989/9474/9821/51375","adjacent_vs_healthy","GO_BP_ranked"
"GO:0048846","axon extension involved in axon guidance",20,0.572412338879939,1.8001700783036,0.00391923553821327,0.02086545638389,0.014391317765777,2761,"tags=40%, list=15%, signal=34%","6586/9353/10371/6387/659/6405/55558/6259","adjacent_vs_healthy","GO_BP_ranked"
"GO:1902284","neuron projection extension involved in neuron projection guidance",20,0.572412338879939,1.8001700783036,0.00391923553821327,0.02086545638389,0.014391317765777,2761,"tags=40%, list=15%, signal=34%","6586/9353/10371/6387/659/6405/55558/6259","adjacent_vs_healthy","GO_BP_ranked"
"GO:0035767","endothelial cell chemotaxis",29,0.493917528027028,1.69634275961128,0.00397559443610012,0.0211231352473539,0.0145690439720677,2648,"tags=38%, list=14%, signal=33%","3164/2260/7057/64094/3791/5587/4856/2247/8817/5872/10563","adjacent_vs_healthy","GO_BP_ranked"
"GO:1905330","regulation of morphogenesis of an epithelium",65,0.395066210193281,1.64518105679194,0.00397744400367332,0.0211231352473539,0.0145690439720677,1531,"tags=22%, list=8%, signal=20%","26585/6422/23213/2260/652/2252/183/655/6909/79812/7482/9500/27086/2247","adjacent_vs_healthy","GO_BP_ranked"
"GO:0022898","regulation of transmembrane transporter activity",154,0.303962615763651,1.47266179315333,0.00397788859859568,0.0211231352473539,0.0145690439720677,2808,"tags=25%, list=15%, signal=22%","51083/7871/857/5350/1131/5348/23704/7881/2273/7402/3688/60/845/1909/130497/6347/5649/79026/9456/22871/10768/9747/6330/54997/6786/2258/57190/2257/29979/56704/65268/2922/2332/5292/1756/6844/2259/29098/4734","adjacent_vs_healthy","GO_BP_ranked"
"GO:0014856","skeletal muscle cell proliferation",24,0.545219723689933,1.78894930234736,0.00400487196411414,0.0212117511655437,0.0146301641227279,1923,"tags=33%, list=10%, signal=30%","2353/858/284/147912/3717/2247/57190/3836","adjacent_vs_healthy","GO_BP_ranked"
"GO:0072028","nephron morphogenesis",80,0.379957200606241,1.61266929150628,0.00400249922163911,0.0212117511655437,0.0146301641227279,3717,"tags=38%, list=20%, signal=30%","26585/54806/2737/5310/652/183/655/3911/4609/130497/7482/9500/2247/170690/8642/7481/5727/26249/3611/6608/6772/30812/6943/650/5087/7040/3207/84445/51804/25789","adjacent_vs_healthy","GO_BP_ranked"
"GO:0051591","response to cAMP",87,0.35800086576315,1.55706175842871,0.004002690327217,0.0212117511655437,0.0146301641227279,2975,"tags=30%, list=16%, signal=25%","2353/7056/3488/5138/7010/2354/1036/6781/1277/3625/64784/374/1545/9370/10498/50506/87178/677/5179/6720/6772/29904/358/3709/2819/5144","adjacent_vs_healthy","GO_BP_ranked"
"GO:0044319","wound healing, spreading of cells",40,0.464306855211069,1.73132318270056,0.00401994712556075,0.0212370027205906,0.0146475806194521,3118,"tags=42%, list=17%, signal=35%","3491/1839/1289/2316/23671/10979/3688/3678/83478/90102/3693/23122/23332/977/10630/94/960","adjacent_vs_healthy","GO_BP_ranked"
"GO:0090505","epiboly involved in wound healing",40,0.464306855211069,1.73132318270056,0.00401994712556075,0.0212370027205906,0.0146475806194521,3118,"tags=42%, list=17%, signal=35%","3491/1839/1289/2316/23671/10979/3688/3678/83478/90102/3693/23122/23332/977/10630/94/960","adjacent_vs_healthy","GO_BP_ranked"
"GO:0002244","hematopoietic progenitor cell differentiation",133,0.317004368880509,1.4981326062498,0.00401542095073291,0.0212370027205906,0.0146475806194521,1882,"tags=19%, list=10%, signal=17%","6422/7538/1052/23215/8692/2296/170506/83700/5610/6886/5469/652/2624/3791/55008/2009/10468/51441/5156/2131/9739/5591/5803/103/6722","adjacent_vs_healthy","GO_BP_ranked"
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation",37,0.475149891869153,1.72572029937142,0.00402394079529873,0.0212399471014018,0.0146496114171063,1546,"tags=30%, list=8%, signal=27%","9510/3725/4313/3488/4921/1786/10203/4217/3717/2247/2771","adjacent_vs_healthy","GO_BP_ranked"
