"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"R-HSA-5685938","HDR through Single Strand Annealing (SSA)","18/1651","36/10634",0.5,3.22047244094488,5.7210457914439,1.36836444003267e-06,1.95480634290381e-05,1.53366560797646e-05,"ATR/RFC3/EXO1/TOPBP1/RFC2/DNA2/RFC5/BLM/ERCC1/BRCA1/RHNO1/RPA3/RAD50/RAD1/NBN/BARD1/RAD51/RMI2",18,"tumor_vs_adjacent_up","Reactome"
"R-HSA-4551638","SUMOylation of chromatin organization proteins","25/1651","61/10634",0.409836065573771,2.63973150897121,5.50591227119225,1.48145130633115e-06,2.09639335801578e-05,1.64474931527133e-05,"RAE1/CBX4/NUP58/NUP107/NUP37/NUP205/NUP35/NUP85/NUP155/POM121/UBE2I/NUP62/NUP93/NUP42/NUP188/PHC2/RANBP2/NUP133/NUP160/NUP153/AAAS/NUP210/SUZ12/SEH1L/NDC1",25,"tumor_vs_adjacent_up","Reactome"
"R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis","17/1651","33/10634",0.515151515151515,3.31806251491291,5.71741136365312,1.57529830215259e-06,2.20836210582139e-05,1.73259567319882e-05,"RFC3/PRIM2/POLD2/POLA1/DSCC1/PRIM1/LIG1/RFC2/DNA2/POLA2/RFC5/BLM/FEN1/PCNA/CHTF18/POLD1/RPA3",17,"tumor_vs_adjacent_up","Reactome"
"R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","26/1651","65/10634",0.4,2.57637795275591,5.46500829264197,1.59619657751405e-06,2.21693969099173e-05,1.73932531545878e-05,"UBE2S/UBE2C/PSMA7/PSMD14/CDK2/PSMA2/ADRM1/CDK1/PSMB4/MAD2L1/FBXO5/CCNB1/PSMB2/BUB3/PSMD12/ANAPC11/CUL1/CDC16/BUB1B/PSMB5/ANAPC10/PLK1/CCNA2/CDC23/CDC20/PSMA3",26,"tumor_vs_adjacent_up","Reactome"
"R-HSA-5651801","PCNA-Dependent Long Patch Base Excision Repair","13/1651","21/10634",0.619047619047619,3.98725159355081,5.87425926395554,1.73563616836175e-06,2.38849013994737e-05,1.87391717646397e-05,"RFC3/POLD2/POLB/APEX1/LIG1/RFC2/RFC5/FEN1/PCNA/POLE2/POLD1/RPA3/POLE3",13,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69002","DNA Replication Pre-Initiation","41/1651","128/10634",0.3203125,2.06311515748031,5.18749081211656,2.13486135391366e-06,2.91117457351863e-05,2.28399520925882e-05,"UBE2S/UBE2C/PSMA7/MCM3/PRIM2/ORC6/PSMD14/DBF4/CDK2/POLA1/MCM7/PSMA2/ADRM1/PSMB4/CDC6/ORC3/PRIM1/MCM8/MCM10/PSMB2/MCM2/MCM4/ORC5/PSMD12/CDT1/ANAPC11/POLA2/CDC16/PSMB5/ANAPC10/KPNB1/H2AZ2/MCM6/CDC23/CDC45/POLE2/H2AX/ORC2/RPA3/POLE3/PSMA3",41,"tumor_vs_adjacent_up","Reactome"
"R-HSA-70326","Glucose metabolism","30/1651","82/10634",0.365853658536585,2.35644324947187,5.28605779568755,2.38967494568175e-06,3.2292904671375e-05,2.5335766612349e-05,"RAE1/NUP58/GNPDA1/NUP107/NUP37/NUP205/NUP35/NUP85/NUP155/POM121/NUP62/NUP93/NUP42/NUP188/RANBP2/G6PC3/NUP133/PGK1/NUP160/NUP153/GPI/AAAS/PKM/NUP210/PFKM/SEH1L/ENO1/NDC1/HKDC1/ALDOB",30,"tumor_vs_adjacent_up","Reactome"
"R-HSA-156711","Polo-like kinase mediated events","11/1651","16/10634",0.6875,4.42814960629921,5.88286850503211,2.5062615774537e-06,3.32689589927483e-05,2.61015411606264e-05,"MYBL2/CCNB1/CDC25C/PKMYT1/CENPF/FOXM1/WEE1/PLK1/CDC25A/LIN9/CCNB2",11,"tumor_vs_adjacent_up","Reactome"
"R-HSA-429958","mRNA decay by 3' to 5' exoribonuclease","11/1651","16/10634",0.6875,4.42814960629921,5.88286850503211,2.5062615774537e-06,3.32689589927483e-05,2.61015411606264e-05,"EXOSC5/DIS3/EXOSC4/EXOSC7/EXOSC2/EXOSC8/DCPS/NT5C3B/EXOSC3/HBS1L/EXOSC9",11,"tumor_vs_adjacent_up","Reactome"
"R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","21/1651","48/10634",0.4375,2.81791338582677,5.41151174147271,2.90409588580392e-06,3.82117879711042e-05,2.99794940011891e-05,"ARID3A/NPM1/CDK2/CDK1/AURKA/CCNB1/E2F1/E2F7/CDC25C/CCNE1/CNOT9/E2F4/TFDP1/PCNA/TFDP2/CCNA2/E2F8/PCBP4/CCNE2/CDKN1B/RGCC",21,"tumor_vs_adjacent_up","Reactome"
"R-HSA-68875","Mitotic Prophase","39/1651","122/10634",0.319672131147541,2.05899057699755,5.0433612664351,3.96708724694792e-06,5.16865158916819e-05,4.05512454504564e-05,"RAE1/NUP58/NUP107/NUP37/NUP205/NUP35/NUP85/NUP155/NCAPD3/POM121/EMD/CDK1/NUP62/CCNB1/SMC4/NUP93/NUP42/NUP188/MASTL/RANBP2/NUP133/NUP160/NEK6/PLK1/NUP153/H2AZ2/SMC2/AAAS/TMPO/H2AX/NUP210/BANF1/RB1/SEH1L/VRK1/LPIN1/CCNB2/NDC1/LMNB1",39,"tumor_vs_adjacent_up","Reactome"
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","24/1651","60/10634",0.4,2.57637795275591,5.24936858741535,3.99709056229006e-06,5.16865158916819e-05,4.05512454504564e-05,"UBE2S/UBE2C/PSMA7/PSMD14/PSMA2/ADRM1/NEK2/CDK1/PSMB4/MAD2L1/CCNB1/PSMB2/BUB3/PSMD12/ANAPC11/CDC16/BUB1B/PSMB5/ANAPC10/PLK1/CCNA2/CDC23/CDC20/PSMA3",24,"tumor_vs_adjacent_up","Reactome"
"R-HSA-5696398","Nucleotide Excision Repair","35/1651","105/10634",0.333333333333333,2.14698162729659,5.06347058874603,4.28320052262321e-06,5.39411851665657e-05,4.23201719412073e-05,"ACTL6A/RUVBL1/RFC3/POLD2/ACTR5/POLR2D/POLR2I/UBE2I/INO80B/CDK7/CUL4A/LIG1/RFC2/CETN2/RAD23A/PRPF19/PARP1/COPS7B/RFC5/MNAT1/ERCC1/XAB2/PCNA/POLR2G/COPS8/POLE2/POLD1/POLR2K/TFPT/RPA3/TCEA1/POLE3/GTF2H3/UBE2V2/PARP2",35,"tumor_vs_adjacent_up","Reactome"
"R-HSA-6804116","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","10/1651","14/10634",0.714285714285714,4.60067491563555,5.77931566743106,4.3512556034363e-06,5.39411851665657e-05,4.23201719412073e-05,"ARID3A/CDK2/E2F1/E2F7/CCNE1/CCNA2/E2F8/PCBP4/CCNE2/CDKN1B",10,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69091","Polymerase switching","10/1651","14/10634",0.714285714285714,4.60067491563555,5.77931566743106,4.3512556034363e-06,5.39411851665657e-05,4.23201719412073e-05,"RFC3/PRIM2/POLD2/POLA1/PRIM1/RFC2/POLA2/RFC5/PCNA/POLD1",10,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69109","Leading Strand Synthesis","10/1651","14/10634",0.714285714285714,4.60067491563555,5.77931566743106,4.3512556034363e-06,5.39411851665657e-05,4.23201719412073e-05,"RFC3/PRIM2/POLD2/POLA1/PRIM1/RFC2/POLA2/RFC5/PCNA/POLD1",10,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69166","Removal of the Flap Intermediate","10/1651","14/10634",0.714285714285714,4.60067491563555,5.77931566743106,4.3512556034363e-06,5.39411851665657e-05,4.23201719412073e-05,"PRIM2/POLD2/POLA1/PRIM1/DNA2/POLA2/FEN1/PCNA/POLD1/RPA3",10,"tumor_vs_adjacent_up","Reactome"
