gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance
A1BG,2.6965744580183912,2.5734898736493643,2.50384931061066,-0.12308458436902692,-0.06964056303870425,non_monotonic,0.15,raw_cel_rma
A1CF,7.767890941413859,7.186225376134099,5.928781603134117,-0.58166556527976,-1.2574437729999826,monotonic_down,0.15,raw_cel_rma
A2M,9.548745063188742,10.352204615296007,9.295594132295564,0.8034595521072649,-1.0566104830004424,adjacent_specific,0.15,raw_cel_rma
A2ML1,2.1309449063874792,2.0919245524337606,2.0912592577254268,-0.03902035395371861,-0.0006652947083338745,non_monotonic,0.15,raw_cel_rma
A3GALT2,2.645622938418313,2.5843505636881963,2.666089895491907,-0.06127237473011693,0.08173933180371051,non_monotonic,0.15,raw_cel_rma
A4GALT,2.9690426382467705,2.917653543377175,2.8266849452772282,-0.05138909486959564,-0.09096859809994662,non_monotonic,0.15,raw_cel_rma
A4GNT,2.58277561924198,2.538510540970144,2.4671231942696954,-0.044265078271836344,-0.07138734670044844,non_monotonic,0.15,raw_cel_rma
AAAS,4.618838406684063,4.5093419001652775,5.023934508446986,-0.10949650651878517,0.5145926082817089,tumor_specific,0.15,raw_cel_rma
AACS,3.5353675100039537,3.426040022965065,3.559709563385389,-0.10932748703888873,0.13366954042032386,non_monotonic,0.15,raw_cel_rma
AACSP1,2.3910779836542337,2.357319516787772,2.279708443687884,-0.03375846686646167,-0.07761107309988802,non_monotonic,0.15,raw_cel_rma
AADAC,2.20832138349865,2.224768948846762,2.4416007648677183,0.016447565348112203,0.21683181602095614,non_monotonic,0.15,raw_cel_rma
AADACL2,2.023587940716489,2.438349773076599,2.0269125909320187,0.41476183236010966,-0.41143718214458014,non_monotonic,0.15,raw_cel_rma
AADACL3,2.373436703909045,2.3150454245708274,2.326577756600212,-0.05839127933821775,0.011532332029384751,non_monotonic,0.15,raw_cel_rma
AADACL4,2.420738908286628,2.396291973775764,2.3697722002698955,-0.024446934510863993,-0.02651977350586865,non_monotonic,0.15,raw_cel_rma
AADAT,3.0357669182938,2.9459018659572154,3.8368434181620135,-0.08986505233658448,0.8909415522047981,tumor_specific,0.15,raw_cel_rma
AAGAB,5.855479023556496,5.9312835961490915,5.400660733123326,0.07580457259259532,-0.5306228630257657,tumor_specific,0.15,raw_cel_rma
AAK1,2.7243617579868857,2.72690606921448,2.581910317044334,0.0025443112275942426,-0.14499575217014593,non_monotonic,0.15,raw_cel_rma
AAMDC,6.71665593015158,6.533331000839182,6.226432375960951,-0.1833249293123984,-0.3068986248782304,monotonic_down,0.15,raw_cel_rma
AAMP,7.22017889790932,7.113178114065416,7.220015142585067,-0.10700078384390377,0.10683702851965116,non_monotonic,0.15,raw_cel_rma
AANAT,2.4928108569782146,2.4175046191478455,2.450449525970691,-0.07530623783036905,0.03294490682284534,non_monotonic,0.15,raw_cel_rma
AAR2,3.079203840011304,3.003371645825342,3.6192951753355276,-0.0758321941859621,0.6159235295101855,tumor_specific,0.15,raw_cel_rma
AARD,2.6725281947265933,2.7860240380008356,2.4808988374912664,0.11349584327424234,-0.30512520050956926,non_monotonic,0.15,raw_cel_rma
AARS1,5.7993967961255715,5.984205476063645,7.0069438314908625,0.18480867993807326,1.0227383554272178,monotonic_up,0.15,raw_cel_rma
AARS2,3.822427158179404,4.005354677707654,4.136370155690788,0.18292751952825004,0.13101547798313362,non_monotonic,0.15,raw_cel_rma
AASDH,5.578402478000145,5.619018994327228,5.59757513087324,0.040616516327083296,-0.021443863453987966,non_monotonic,0.15,raw_cel_rma
AASDHPPT,6.866950580599923,6.967449462557966,7.623455979944523,0.10049888195804346,0.6560065173865564,tumor_specific,0.15,raw_cel_rma
AASS,2.4826492984228072,2.795878447155152,2.766720561958353,0.31322914873234486,-0.02915788519679907,non_monotonic,0.15,raw_cel_rma
AATF,6.198489146262705,6.260101583504187,7.186431993627931,0.061612437241481466,0.926330410123744,tumor_specific,0.15,raw_cel_rma
AATK,4.9447127190566995,5.3718554581081674,5.4318467059755875,0.42714273905146793,0.05999124786742005,non_monotonic,0.15,raw_cel_rma
ABAT,5.330178131744422,4.806107954253627,4.679416382294906,-0.5240701774907945,-0.12669157195872138,field_shift_then_plateau,0.15,raw_cel_rma
ABCA1,2.6279159977563706,2.6457068030292357,2.5914339132841286,0.01779080527286503,-0.05427288974510702,non_monotonic,0.15,raw_cel_rma
ABCA10,2.4369158361252974,2.591097948209981,2.182842476350875,0.1541821120846838,-0.40825547185910604,non_monotonic,0.15,raw_cel_rma
ABCA12,2.439762574261792,2.407374454765883,2.4467542318479625,-0.03238811949590881,0.039379777082079404,non_monotonic,0.15,raw_cel_rma
ABCA13,2.1537061929729777,2.1015017106276925,2.2151838651588096,-0.052204482345285186,0.11368215453111707,non_monotonic,0.15,raw_cel_rma
ABCA2,2.55812681985628,2.4395130824811524,2.3989302189324184,-0.11861373737512748,-0.04058286354873397,non_monotonic,0.15,raw_cel_rma
ABCA3,2.690069865671643,2.83993179734404,2.713755001481566,0.14986193167239703,-0.1261767958624742,non_monotonic,0.15,raw_cel_rma
ABCA4,2.4232387429837967,2.3390337757170325,2.412803596567283,-0.08420496726676419,0.07376982085025041,non_monotonic,0.15,raw_cel_rma
ABCA5,7.143744277880648,7.261451834728947,5.421122581018172,0.11770755684829926,-1.8403292537107756,tumor_specific,0.15,raw_cel_rma
ABCA6,2.4890763635559408,2.6492305406568453,2.411951641285205,0.16015417710090452,-0.23727889937164015,non_monotonic,0.15,raw_cel_rma
ABCA7,3.3667233843840334,3.267394713240495,3.333580335568587,-0.09932867114353838,0.06618562232809211,non_monotonic,0.15,raw_cel_rma
ABCA8,2.5751740178821882,2.7515258341778512,2.373959763810054,0.176351816295663,-0.3775660703677972,non_monotonic,0.15,raw_cel_rma
ABCA9,2.693023563831987,2.978019145014037,2.6019765192989035,0.28499558118204993,-0.37604262571513347,non_monotonic,0.15,raw_cel_rma
ABCB1,6.164545760645978,6.199205656245034,4.965867974181017,0.03465989559905669,-1.2333376820640174,tumor_specific,0.15,raw_cel_rma
ABCB10,8.417136567863949,8.072596956065924,8.278108207701067,-0.34453961179802484,0.2055112516351425,non_monotonic,0.15,raw_cel_rma
ABCB11,2.6774735690477187,2.465330462890373,2.2560509649531175,-0.21214310615734577,-0.20927949793725542,monotonic_down,0.15,raw_cel_rma
ABCB4,2.6136087384901026,2.630787668361353,2.667200614688528,0.01717892987125058,0.03641294632717473,non_monotonic,0.15,raw_cel_rma
ABCB5,2.3853711578659476,2.3530481459660924,2.303081487827922,-0.0323230118998552,-0.04996665813817014,non_monotonic,0.15,raw_cel_rma
ABCB7,7.666915755178448,7.783501847908266,8.020825894845066,0.11658609272981746,0.23732404693680031,non_monotonic,0.15,raw_cel_rma
ABCB8,3.1417974270747355,3.070824584341024,3.071055350841355,-0.07097284273371152,0.0002307665003309367,non_monotonic,0.15,raw_cel_rma
ABCB9,2.8207636981964104,2.747988337931538,2.7040581141012696,-0.07277536026487219,-0.04393022383026857,non_monotonic,0.15,raw_cel_rma
ABCC1,4.717521476674859,5.067085970860204,6.262493755328754,0.3495644941853451,1.19540778446855,monotonic_up,0.15,raw_cel_rma
ABCC10,4.469633204590403,4.711389134055367,5.395150131555993,0.24175592946496405,0.6837609975006256,monotonic_up,0.15,raw_cel_rma
ABCC11,2.5552037576418174,2.4708875113637996,2.4699299218407718,-0.08431624627801781,-0.0009575895230278242,non_monotonic,0.15,raw_cel_rma
ABCC12,2.23298545414478,2.188637337707291,2.2232775154321063,-0.044348116437488816,0.03464017772481531,non_monotonic,0.15,raw_cel_rma
