task,class,gene_symbol,selected_folds,positive_fraction,median_coefficient,median_absolute_coefficient,coefficient_standard_deviation,repeat_count,selection_frequency,sign_consistency,total_unique_repeat_fold_count,repeat_coverage,strictly_stable_gene,compact_consensus_gene,exploratory_selected_gene,stability_class,analysis_provenance
task_a_three_class,adjacent_normal,CDH3,10,0.0,-0.1381302364170551,0.1381302364170551,0.09387764945486564,3,0.6666666666666666,1.0,15,1.0,True,False,False,strictly_stable_gene,raw_cel_rma
task_a_three_class,adjacent_normal,BEST4,10,1.0,0.12334450706839556,0.12334450706839556,0.05706279748645426,3,0.6666666666666666,1.0,15,1.0,True,False,False,strictly_stable_gene,raw_cel_rma
task_a_three_class,tumor,TGIF2,10,1.0,0.073862861841917,0.073862861841917,0.03780700775151225,3,0.6666666666666666,1.0,15,1.0,True,False,False,strictly_stable_gene,raw_cel_rma
task_a_three_class,tumor,AQP8,10,0.0,-0.06183913163840765,0.06183913163840765,0.04683909966767665,3,0.6666666666666666,1.0,15,1.0,True,False,False,strictly_stable_gene,raw_cel_rma
task_a_three_class,tumor,BEST4,10,0.0,-0.04463033378124235,0.04463033378124235,0.03923888559927123,3,0.6666666666666666,1.0,15,1.0,True,False,False,strictly_stable_gene,raw_cel_rma
task_a_three_class,healthy,RMDN2,9,1.0,0.6309589743614197,0.6309589743614197,0.304379516747353,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,adjacent_normal,NONO,9,0.0,-0.1817383617162704,0.1817383617162704,0.15617392737088734,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,PPM1H,9,1.0,0.0714570805430412,0.0714570805430412,0.03777898386346304,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,healthy,HIGD1A,9,1.0,0.071300521492958,0.071300521492958,0.1390173441244374,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,SLC51B,9,0.0,-0.0678368136286735,0.0678368136286735,0.025896927856685504,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,GRAMD2B,9,0.0,-0.0488162226974964,0.0488162226974964,0.024369214771816628,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,GLTP,9,0.0,-0.0139820808544754,0.0139820808544754,0.04370252555279898,3,0.6,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,healthy,PLCD1,8,1.0,0.12169333919882772,0.12169333919882772,0.09108550912478762,3,0.5333333333333333,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,RUNDC3B,8,0.0,-0.0466185193508863,0.0466185193508863,0.04787273644149934,3,0.5333333333333333,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,tumor,ASCL2,8,1.0,0.0324161052703857,0.0324161052703857,0.04616689562867878,3,0.5333333333333333,1.0,15,1.0,False,True,False,compact_consensus_gene,raw_cel_rma
task_a_three_class,adjacent_normal,TMEM100,7,1.0,0.9353670477867126,0.9353670477867126,0.12250826397714401,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,ADH1B,7,1.0,0.6942464113235474,0.6942464113235474,0.24338980557648318,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,TMEM100,7,0.0,-0.5711219906806946,0.5711219906806946,0.13316545245049372,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,ADH1B,7,0.0,-0.4773264229297638,0.4773264229297638,0.2539336885059983,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,RMDN2,7,0.0,-0.2366475909948349,0.2366475909948349,0.11619061605546792,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,SLC17A4,7,1.0,0.1467172056436538,0.1467172056436538,0.13470815433585076,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,AQP8,7,1.0,0.1246578693389892,0.1246578693389892,0.0882302399970253,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,CDKN2B,7,1.0,0.1083345636725425,0.1083345636725425,0.05705659865317123,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,CLDN1,7,0.0,-0.0680715292692184,0.0680715292692184,0.03794923254512835,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,NKRF,7,0.0,-0.0601315647363662,0.0601315647363662,0.035364462549836086,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,TSPAN7,7,0.0,-0.0393682904541492,0.0393682904541492,0.020789593978702763,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,CA7,7,0.0,-0.0339506119489669,0.0339506119489669,0.044157374005319446,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,TMIGD1,7,0.0,-0.0285518690943717,0.0285518690943717,0.050823652849234506,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,NKRF,7,1.0,0.0241528917104005,0.0241528917104005,0.01217731337005734,3,0.4666666666666667,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,ETFDH,6,1.0,0.6117745637893677,0.6117745637893677,0.3599365484216844,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,IL6R,6,1.0,0.43146125972270966,0.43146125972270966,0.1694127446849845,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,SLC25A34,6,1.0,0.3081471621990204,0.3081471621990204,0.12029618807427897,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,CWH43,6,1.0,0.11788242310285565,0.11788242310285565,0.06475689911955207,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,C2orf88,6,1.0,0.06040368229150765,0.06040368229150765,0.058078914256600396,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,HPGD,6,0.0,-0.05710290186107155,0.05710290186107155,0.025282399138146398,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,NFE2L3,6,1.0,0.0466352012008428,0.0466352012008428,0.013353972598020498,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,XPOT,6,1.0,0.03970776498317715,0.03970776498317715,0.019553699044373485,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,CWH43,6,0.0,-0.0358596760779619,0.0358596760779619,0.022566995672791412,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,C2orf88,6,0.0,-0.0318113807588815,0.0318113807588815,0.021642360843022415,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,CA1,6,0.0,-0.010006469674408349,0.010006469674408349,0.01650655035606274,3,0.4,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,AHCY,5,0.0,-0.5553719401359558,0.5553719401359558,0.46162151743886304,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,TMIGD1,5,1.0,0.1069784164428711,0.1069784164428711,0.05009535608256168,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,DNAJC2,5,0.0,-0.1038487777113914,0.1038487777113914,0.09167798452609842,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,BMP3,5,0.0,-0.0992577001452446,0.0992577001452446,0.037441594067376516,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,POLR1B,5,0.0,-0.0888840332627296,0.0888840332627296,0.06912390769769632,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,SLC25A34,5,0.0,-0.087808258831501,0.087808258831501,0.049989001921975605,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,CEMIP,5,0.0,-0.0623525492846965,0.0623525492846965,0.049408049823654425,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,RMDN2,5,0.0,-0.0506494231522083,0.0506494231522083,0.016129859237469086,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,NFE2L3,5,0.0,-0.049362301826477,0.049362301826477,0.0313204805914824,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,OTOP2,5,0.0,-0.0388932563364505,0.0388932563364505,0.03690197058972611,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,GUCA2A,5,1.0,0.0355177149176597,0.0355177149176597,0.01889734143204859,3,0.3333333333333333,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,PHLDA1,4,0.0,-0.7512441575527191,0.7512441575527191,0.31463158879040903,2,0.26666666666666666,1.0,15,0.6666666666666666,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,SMIM14,4,1.0,0.7433553338050842,0.7433553338050842,0.21378171879805938,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,SOX4,4,0.0,-0.30998407304286957,0.30998407304286957,0.08346738242296134,2,0.26666666666666666,1.0,15,0.6666666666666666,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,AHCY,4,1.0,0.3047749251127243,0.3047749251127243,0.058389477071225215,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,ETFDH,4,0.0,-0.26697528362274164,0.26697528362274164,0.09077764125244514,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,PDE6A,4,1.0,0.1604778915643692,0.1604778915643692,0.12429891905719467,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,IL6R,4,0.0,-0.1280829347670078,0.1280829347670078,0.04697488536339284,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,PHLDA1,4,1.0,0.10156775638461105,0.10156775638461105,0.04070121929192985,2,0.26666666666666666,1.0,15,0.6666666666666666,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,GNA11,4,0.0,-0.0978474244475364,0.0978474244475364,0.035803796181345285,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,ACADS,4,1.0,0.088039930909872,0.088039930909872,0.04331744072713773,2,0.26666666666666666,1.0,15,0.6666666666666666,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,SLC51B,4,1.0,0.08609509281814096,0.08609509281814096,0.03723919824271026,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,adjacent_normal,CEMIP,4,0.0,-0.08568879589438436,0.08568879589438436,0.04026569857135017,2,0.26666666666666666,1.0,15,0.6666666666666666,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,healthy,RUNDC3B,4,1.0,0.0418067704886198,0.0418067704886198,0.14258032743345905,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,IL6R,4,0.0,-0.034611046314239446,0.034611046314239446,0.006784387488155754,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
task_a_three_class,tumor,ETFDH,4,0.0,-0.02978832740336655,0.02978832740336655,0.008015112193047196,3,0.26666666666666666,1.0,15,1.0,False,False,True,exploratory_selected_gene,raw_cel_rma
