geo_accession,sample_median,robust_z,outlier_candidate,automatic_exclusion
GSM1077598,3.6094,-1.0413456468955966,False,False
GSM1077599,3.5999,-1.2191534859521365,False,False
GSM1077600,3.6951,0.562668227540759,False,False
GSM1077601,3.6486,-0.3076543531044034,False,False
GSM1077602,3.6150249999999997,-0.9360646895594925,False,False
GSM1077603,3.6786000000000003,0.2538440860215126,False,False
GSM1077604,3.655725,-0.17429847381200272,False,False
GSM1077605,3.59185,-1.3698222337842538,False,False
GSM1077606,3.62965,-0.6623342004856086,False,False
GSM1077607,3.61475,-0.9412117585848097,False,False
GSM1077608,3.6422999999999996,-0.42556902532085256,False,False
GSM1077609,3.6093,-1.0432173083593452,False,False
GSM1077610,3.613875,-0.9575887963926439,False,False
GSM1077611,3.6013,-1.1929502254595883,False,False
GSM1077612,3.6275749999999998,-0.7011711758584851,False,False
GSM1077613,3.5938,-1.3333248352410716,False,False
GSM1077614,3.6130750000000003,-0.9725620881026665,False,False
GSM1077615,3.60685,-1.0890730142212959,False,False
GSM1077616,3.591,-1.3857313562261508,False,False
GSM1077617,3.5998,-1.221025147415885,False,False
GSM1077618,3.58965,-1.4109987859868245,False,False
GSM1077619,3.592275,-1.3618676725633054,False,False
GSM1077620,3.594975,-1.3113328130419748,False,False
GSM1077621,3.610125,-1.0277761012833853,False,False
GSM1077622,3.6323499999999997,-0.611799340964278,False,False
GSM1077623,3.587125,-1.4582582379465865,False,False
GSM1077624,3.64185,-0.4339915019077383,False,False
GSM1077625,3.60935,-1.042281477627471,False,False
GSM1077626,3.607825,-1.0708243149497045,False,False
GSM1077627,3.6875999999999998,0.42229361775927576,False,False
GSM1077628,3.623125,-0.7844601109954924,False,False
GSM1077629,3.581675,-1.560263787721122,False,False
GSM1077630,3.6017,-1.185463579604577,False,False
GSM1077631,3.5965499999999997,-1.2818541449878667,False,False
GSM1077632,3.66135,-0.06901751647589034,False,False
GSM1077633,3.6416000000000004,-0.43867065556710994,False,False
GSM1077634,3.61515,-0.9337251127297983,False,False
GSM1077635,3.6158,-0.9215593132153987,False,False
GSM1077636,3.63105,-0.6361309399930607,False,False
GSM1077637,3.6211499999999996,-0.8214254249046201,False,False
GSM1077638,3.6369249999999997,-0.5261708289975766,False,False
GSM1077639,3.609,-1.048832292750608,False,False
GSM1077640,3.61655,-0.9075218522372505,False,False
GSM1077641,3.6737,0.16213267429761138,False,False
GSM1077642,3.588,-1.441881200138744,False,False
GSM1077643,3.609425,-1.0408777315296593,False,False
GSM1077644,3.6186499999999997,-0.8682169614984452,False,False
GSM1077645,3.67945,0.2697532084634096,False,False
GSM1077646,3.5875,-1.4512395074575124,False,False
GSM1077647,3.596325,-1.2860653832813012,False,False
GSM1077648,3.68635,0.39889784946236745,False,False
GSM1077649,3.658625,-0.12002029136316643,False,False
