gene_symbol,reference_model,adjusted_model,unadjusted_log2fc,adjusted_log2fc,effect_difference,unadjusted_fdr,adjusted_fdr,effect_direction_agreement,reference_significant,adjusted_significant,significance_retained,lost_significance,gained_significance,changed_direction
C11orf96,U0_unadjusted,U1_age_sex_adjusted,2.01585934089187,1.93525145145848,-0.08060788943339015,6.56030825586427e-33,1.01467299430816e-28,True,True,True,True,False,False,False
MCEE,U0_unadjusted,U1_age_sex_adjusted,-0.993657937453605,-0.986632809973711,0.007025127479894033,9.24919600528995e-33,4.0459356060000897e-29,True,True,True,True,False,False,False
GAL,U0_unadjusted,U1_age_sex_adjusted,3.01225126206586,2.86709801677729,-0.14515324528857,1.30539311660383e-32,6.24050826334235e-28,True,True,True,True,False,False,False
SLIT3,U0_unadjusted,U1_age_sex_adjusted,2.13701034477997,2.13240826724576,-0.004602077534209936,5.09915664001344e-32,1.3500608315850299e-28,True,True,True,True,False,False,False
HTRA1,U0_unadjusted,U1_age_sex_adjusted,2.47877449762279,2.40044164060159,-0.0783328570212003,5.97723866098153e-32,9.8946928294673e-28,True,True,True,True,False,False,False
COL6A3,U0_unadjusted,U1_age_sex_adjusted,2.31545834582168,2.22395025845559,-0.09150808736609006,5.99160516830817e-32,1.98780303424081e-27,True,True,True,True,False,False,False
SIK1,U0_unadjusted,U1_age_sex_adjusted,2.78635089424384,2.61953510153896,-0.16681579270488012,7.150825428669741e-32,1.50673864552878e-27,True,True,True,True,False,False,False
MRPL13,U0_unadjusted,U1_age_sex_adjusted,-0.818919181914747,-0.792892372876505,0.02602680903824195,1.92423693566044e-31,3.65014954104891e-27,True,True,True,True,False,False,False
LYPLA1,U0_unadjusted,U1_age_sex_adjusted,-1.04059931240979,-1.03640117461564,0.004198137794150014,3.0205942628598802e-31,9.01709488919905e-28,True,True,True,True,False,False,False
JUN,U0_unadjusted,U1_age_sex_adjusted,1.43959680344758,1.39156666007813,-0.048030143369449885,3.51882438146406e-31,6.72167520682933e-27,True,True,True,True,False,False,False
CDH5,U0_unadjusted,U1_age_sex_adjusted,0.81119403762705,0.784660351373776,-0.026533686253274014,3.61271177738203e-31,2.80927308872653e-27,True,True,True,True,False,False,False
PCSK5,U0_unadjusted,U1_age_sex_adjusted,1.05676418802854,1.02158045512822,-0.035183732900320175,3.7997640587008904e-31,7.50396675598899e-27,True,True,True,True,False,False,False
ROBO4,U0_unadjusted,U1_age_sex_adjusted,1.1818140100983,1.13340210139507,-0.04841190870322998,1.5448411596923098e-30,2.5313605013120898e-26,True,True,True,True,False,False,False
CCN5,U0_unadjusted,U1_age_sex_adjusted,2.34405059451378,2.30922474495707,-0.034825849556709976,2.5721988136195e-30,1.30069463686097e-26,True,True,True,True,False,False,False
EAPP,U0_unadjusted,U1_age_sex_adjusted,-0.675649226432868,-0.671237944959571,0.004411281473296946,2.6805537751232798e-30,7.50396675598899e-27,True,True,True,True,False,False,False
MYCBP2,U0_unadjusted,U1_age_sex_adjusted,0.879242861357198,0.881935975307844,0.0026931139506459756,2.9311934309782198e-30,3.64829365043629e-27,True,True,True,True,False,False,False
CHD8,U0_unadjusted,U1_age_sex_adjusted,0.627697663610739,0.624236976473105,-0.003460687137633922,5.17723091294265e-30,1.26846934438956e-26,True,True,True,True,False,False,False
PECAM1,U0_unadjusted,U1_age_sex_adjusted,1.40586005873678,1.35783854398469,-0.04802151475208993,7.42169610381698e-30,8.73259168242981e-26,True,True,True,True,False,False,False
ZFP36,U0_unadjusted,U1_age_sex_adjusted,1.13367516393632,1.06227046447848,-0.07140469945784012,7.42169610381698e-30,3.7419662013726703e-25,True,True,True,True,False,False,False
NSMCE2,U0_unadjusted,U1_age_sex_adjusted,-0.695184401557318,-0.690648695191444,0.0045357063658739705,2.4799613818338298e-29,5.73124220502984e-26,True,True,True,True,False,False,False
LYVE1,U0_unadjusted,U1_age_sex_adjusted,2.10707158741141,2.12395730927385,0.016885721862439862,3.26371534512371e-29,2.33037228840892e-26,True,True,True,True,False,False,False
ADH1B,U0_unadjusted,U1_age_sex_adjusted,2.25485425088553,2.23408547052015,-0.020768780365380213,3.33587808137901e-29,9.185377466875609e-26,True,True,True,True,False,False,False
SRPX,U0_unadjusted,U1_age_sex_adjusted,2.16880664596357,2.10806658962308,-0.06074005634049007,3.43141247231219e-29,2.83699254485821e-25,True,True,True,True,False,False,False
PDCD10,U0_unadjusted,U1_age_sex_adjusted,-0.70122235827117,-0.692008890345299,0.009213467925870966,4.81899454780821e-29,1.42975699623022e-25,True,True,True,True,False,False,False
CRADD,U0_unadjusted,U1_age_sex_adjusted,-0.631310656722037,-0.651711355782756,-0.020400699060718952,5.69638174482293e-29,4.19630210710044e-27,True,True,True,True,False,False,False
CRLS1,U0_unadjusted,U1_age_sex_adjusted,-0.687359147053125,-0.656551786162088,0.030807360891036972,6.181321388206309e-29,1.17656106754955e-24,True,True,True,True,False,False,False
GCN1,U0_unadjusted,U1_age_sex_adjusted,0.689021265412856,0.69417862663668,0.005157361223823931,6.181321388206309e-29,4.62832931980256e-26,True,True,True,True,False,False,False
VEGFC,U0_unadjusted,U1_age_sex_adjusted,1.65707133417181,1.61925765658064,-0.037813677591169936,7.9581930131581e-29,2.9176123061093204e-25,True,True,True,True,False,False,False
ECRG4,U0_unadjusted,U1_age_sex_adjusted,2.98463562275327,2.98591704198567,0.001281419232399994,7.95995091182879e-29,1.0500265232186501e-25,True,True,True,True,False,False,False
THBD,U0_unadjusted,U1_age_sex_adjusted,1.24452648273955,1.22333892384475,-0.02118755889479984,1.53801401141342e-28,3.77833400333418e-25,True,True,True,True,False,False,False
PCOLCE2,U0_unadjusted,U1_age_sex_adjusted,3.01727184336497,2.99613728837588,-0.021134554989089782,1.53801401141342e-28,2.96631676347778e-25,True,True,True,True,False,False,False
HEG1,U0_unadjusted,U1_age_sex_adjusted,1.37890470353075,1.3467393994196,-0.03216530411115004,1.55354866052562e-28,9.78976848456553e-25,True,True,True,True,False,False,False
COX16,U0_unadjusted,U1_age_sex_adjusted,-0.596829506971936,-0.561239652350303,0.035589854621633,2.13369975545496e-28,7.2648535160722e-24,True,True,True,True,False,False,False
LMNA,U0_unadjusted,U1_age_sex_adjusted,0.620431081705715,0.612363319142282,-0.008067762563433,2.49666381716264e-28,7.86334691776626e-25,True,True,True,True,False,False,False
