reference_model,adjusted_model,shared_tested_genes,pearson_log2fc_correlation,spearman_log2fc_correlation,sign_agreement_fraction,reference_significant_genes,adjusted_significant_genes,significant_gene_retention_count,significant_gene_retention_fraction,median_effect_size_retention,genes_losing_significance,genes_gaining_significance,genes_changing_direction,pathway_concordance
U0_unadjusted,U1_age_sex_adjusted,18490,0.9963759345151101,0.9920697980707562,0.9700919415900486,1662,1580,1549,0.9320096269554753,0.965815851728012,113,31,553,evaluated after tier-specific enrichment
U0_unadjusted,U2_age_sex_location_adjusted,18490,0.9954869949638792,0.9898650091433158,0.9644131963223364,1662,1521,1488,0.8953068592057761,0.9478959440412538,174,33,658,evaluated after tier-specific enrichment
