"gene_symbol","entrez_id","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"CD2BP2",10421,"tumor_vs_adjacent_paired",0.197130094621868,0.0419374639052149,4.71643397136939,7.84764825806811e-06,1.72680014627727e-05,5.95035968547165,0.114200807463792,0.280059381779944,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MIER2",54531,"tumor_vs_adjacent_paired",0.114926183407711,0.0240427467383806,4.71354143122716,7.93922147658824e-06,1.74674208831648e-05,3.47308955831992,0.0665490181696652,0.163303348645756,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MITF",4286,"tumor_vs_adjacent_paired",-0.581315279478576,0.124713054734465,-4.71329932825519,7.94693292229925e-06,1.74823069284132e-05,5.13866611421245,-0.826027398415415,-0.336603160541737,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"UGT2B7",7364,"tumor_vs_adjacent_paired",-0.845791583657442,0.181582261493943,-4.71241446735596,7.975179317958e-06,1.75423585045257e-05,5.63991663707184,-1.20190524896085,-0.48967791835403,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"WDTC1",23038,"tumor_vs_adjacent_paired",-0.158400316708564,0.0335677945441196,-4.71190697988545,7.9914231876231e-06,1.7575997946848e-05,2.79867356087701,-0.225100664449447,-0.0916999689676806,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"FITM1",161247,"tumor_vs_adjacent_paired",-0.164621265878408,0.0349225931103099,-4.71178855758816,7.99521831477934e-06,1.75822534063118e-05,2.79262665973152,-0.233942917991906,-0.0952996137649104,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"CPNE3",8895,"tumor_vs_adjacent_paired",0.309023987828797,0.0661506663189118,4.71175277288357,7.99636546567084e-06,1.75826849161914e-05,7.6667548496472,0.178893679570186,0.439154296087409,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ING2",3622,"tumor_vs_adjacent_paired",-0.162155313128811,0.0343901530555321,-4.71124286563214,8.01272893255152e-06,1.7616570506882e-05,4.68058199534449,-0.230446467060648,-0.0938641591969737,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"CCL17",6361,"tumor_vs_adjacent_paired",0.149010118351145,0.0315274059385769,4.71102456518215,8.01974435471866e-06,1.76298981237365e-05,2.8787716388526,0.0862521101528613,0.211768126549429,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ZNF460",10794,"tumor_vs_adjacent_paired",0.0821937780901715,0.0167689491356728,4.70845928890148,8.1026312750566e-06,1.78099919490961e-05,2.25136945408134,0.0475576860863264,0.116829870094017,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"CTNNAL1",8727,"tumor_vs_adjacent_paired",0.445239285829809,0.0955711345294232,4.70748045226052,8.13447715385905e-06,1.78778655146623e-05,6.83567957263395,0.257578421215575,0.632900150444043,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"ASPG",374569,"tumor_vs_adjacent_paired",-0.143614891411128,0.0303745197663896,-4.70728416957039,8.14087769791078e-06,1.78898061129511e-05,2.83568732255858,-0.204148674795601,-0.0830811080266542,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"LUZP4",51213,"tumor_vs_adjacent_paired",-0.118887965540689,0.0249569436920517,-4.70603746918372,8.18164533463902e-06,1.79770476309397e-05,2.61698053445516,-0.169012606564951,-0.0687633245164269,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"RAB3IP",117177,"tumor_vs_adjacent_paired",0.308471732138075,0.0661127514954603,4.7060107246598,8.18252205851752e-06,1.79770476309397e-05,3.79952775485508,0.178415484301316,0.438527979974834,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"EFNA3",1944,"tumor_vs_adjacent_paired",0.228942511272007,0.0489375954964563,4.70487729768465,8.21976132198027e-06,1.80567169827035e-05,3.21665577947432,0.132393706575383,0.325491315968631,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"C19orf18",147685,"tumor_vs_adjacent_paired",-0.243892669783571,0.0521816530445564,-4.70413742206068,8.24415891881616e-06,1.81081608943824e-05,2.52970480777396,-0.346762378050146,-0.141022961516997,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PLEKHN1",84069,"tumor_vs_adjacent_paired",0.152387520303864,0.0323178643910813,4.70340318989162,8.26843986916298e-06,1.81593364034711e-05,3.47464291838841,0.0881030671997294,0.216671973407999,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"BICDL1",92558,"tumor_vs_adjacent_paired",0.125445151103153,0.0264224564072834,4.70222000480666,8.30771367925603e-06,1.82434235070599e-05,2.82098252866406,0.0725129815543836,0.178377320651921,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"CCDC136",64753,"tumor_vs_adjacent_paired",-0.25135825285426,0.0538219409501012,-4.70196797894555,8.31610259723527e-06,1.8259676644446e-05,3.27240735163759,-0.357425730841906,-0.145290774866615,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"CD247",919,"tumor_vs_adjacent_paired",-0.257447295877621,0.0551399856381749,-4.70193049897714,8.31735085499251e-06,1.82602490274058e-05,3.614591915026,-0.366085077792069,-0.148809513963173,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"TMED9",54732,"tumor_vs_adjacent_paired",0.182994816039771,0.0390037438487293,4.70120419266037,8.34157616482747e-06,1.83112600365262e-05,8.42699627117679,0.105762611264753,0.26022702081479,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"IKBKG",8517,"tumor_vs_adjacent_paired",0.0963822268687079,0.0199929532570817,4.70062772663735,8.36085239537438e-06,1.83513961052318e-05,2.6892458036828,0.0556995183506657,0.13706493538675,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"FSHB",2488,"tumor_vs_adjacent_paired",-0.0753327537966108,0.0152403073069512,-4.69937180482417,8.40299844178465e-06,1.84417140876674e-05,2.23659504527135,-0.107139027895462,-0.0435264796977598,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"SLC2A11",66035,"tumor_vs_adjacent_paired",0.144952935035633,0.0307257669411694,4.69856452223193,8.43019785563788e-06,1.84992117672377e-05,2.9268137039012,0.0837417793615552,0.206164090709712,"up","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"MEGF8",1954,"tumor_vs_adjacent_paired",-0.238004139826283,0.0509887738881467,-4.69670555454474,8.49315640418392e-06,1.86351562730937e-05,4.71591280391532,-0.338549014630753,-0.137459265021812,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"AGTR2",186,"tumor_vs_adjacent_paired",-0.0748175565750328,0.0151322186988516,-4.69660762360498,8.49648569452814e-06,1.86402492277913e-05,2.13292765289359,-0.106424900547155,-0.0432102126029104,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"UTS2R",2837,"tumor_vs_adjacent_paired",-0.171329330767051,0.0365038893388447,-4.69629860742228,8.50699940588913e-06,1.86611008440966e-05,3.45813632701235,-0.243713696978918,-0.0989449645551833,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"RAB6D",150786,"tumor_vs_adjacent_paired",-0.184044191120092,0.0392783012004664,-4.69576626668272,8.5251409316664e-06,1.86986780339872e-05,2.37546655782533,-0.261809231840202,-0.106279150399981,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
"PHYHD1",254295,"tumor_vs_adjacent_paired",-0.175035597020771,0.0373201825843285,-4.69525820774074,8.54248996011853e-06,1.87345082863944e-05,2.59405459944245,-0.249002197760982,-0.101068996280561,"down","mapped_unique","raw_cel_rma_limma_patient_fixed_effect"
