task,model,metric,outer_fold_mean,outer_fold_sd,repeat_mean_sd,aggregated_oof_metric,aggregated_oof_bootstrap_ci_lower,aggregated_oof_bootstrap_ci_upper,mean,median,standard_deviation,fold_minimum,fold_maximum,repeat_mean_standard_deviation,analysis_provenance
task_a_three_class,elastic_net,f1_macro,0.9412808396977994,0.024130042979358,0.0032754440252633,0.9582328372561992,0.929143271034812,0.982001530880431,0.9412808396977994,0.9511784511784512,0.024130042979358,0.8941798941798943,0.9751179751179752,0.0032754440252633,raw_cel_rma
task_a_three_class,elastic_net,balanced_accuracy,0.947251461988304,0.0284491697505176,0.0052641324633768,0.959591836734694,0.9298388488587824,0.9841232531575104,0.947251461988304,0.9649122807017544,0.0284491697505176,0.8833333333333333,0.9824561403508772,0.0052641324633768,raw_cel_rma
task_a_three_class,elastic_net,log_loss,0.177186195367803,0.0515979868219845,0.0068843521929983,0.1703601414550385,0.1416663721516165,0.2060806526941651,0.177186195367803,0.1744770451776564,0.0515979868219845,0.1089781117655183,0.2622465698573996,0.0068843521929983,raw_cel_rma
task_a_three_class,elastic_net,roc_auc_ovr_macro,0.9934559050883914,0.006443569980735,0.0010970277239832,0.9947278911564624,0.9879036671341488,0.9993974970663478,0.9934559050883914,0.9958333333333332,0.006443569980735,0.9802777777777778,1.0,0.0010970277239832,raw_cel_rma
task_a_three_class,elastic_net,brier_score_multiclass,0.0886258083002963,0.0314439148211422,0.0055555410253614,0.0807982647624651,0.0597018256672177,0.1057162667660369,0.0886258083002963,0.0903697838200244,0.0314439148211422,0.0419388890915027,0.1366080084687073,0.0055555410253614,raw_cel_rma
task_a_three_class,linear_svm,f1_macro,0.9619873241102124,0.0350922117027613,0.013284386195983,0.9729581317062908,0.9497764050260648,0.9940585447449124,0.9619873241102124,0.9580361159308528,0.0350922117027613,0.8786192274564368,1.0,0.013284386195983,raw_cel_rma
task_a_three_class,linear_svm,balanced_accuracy,0.958654970760234,0.0401732314168997,0.0135739295925672,0.969795918367347,0.9425520780898688,0.9934640522875816,0.958654970760234,0.9649122807017544,0.0401732314168997,0.8666666666666666,1.0,0.0135739295925672,raw_cel_rma
task_a_three_class,linear_svm,log_loss,0.1385834702450396,0.0411067520366311,0.0117102252698766,0.1346023586648482,0.1116942102389904,0.1616943314508651,0.1385834702450396,0.1270775252795559,0.0411067520366311,0.0729452209252219,0.2225536181758403,0.0117102252698766,raw_cel_rma
task_a_three_class,linear_svm,roc_auc_ovr_macro,0.9977426564495532,0.0038211791743101,0.001454298361725,0.9990273947416805,0.997612095217376,0.9999591084105772,0.9977426564495532,0.9988888888888888,0.0038211791743101,0.9855555555555556,1.0,0.001454298361725,raw_cel_rma
task_a_three_class,linear_svm,brier_score_multiclass,0.0598292350031231,0.0309441758426501,0.0088127731450457,0.0535251352510656,0.0364558561113015,0.0740441660775963,0.0598292350031231,0.0560094570719863,0.0309441758426501,0.0146707024740067,0.1256419120625134,0.0088127731450457,raw_cel_rma
task_a_three_class,random_forest,f1_macro,0.9333865845629952,0.0514046530010371,0.0047210470099355,0.9572238452512368,0.9258209423636924,0.9837360617642804,0.9333865845629952,0.9337294142172192,0.0514046530010371,0.8136645962732919,1.0,0.0047210470099355,raw_cel_rma
task_a_three_class,random_forest,balanced_accuracy,0.9276608187134502,0.0547464271966683,0.0039006330165268,0.9497959183673468,0.9143274808241174,0.9807783018867924,0.9276608187134502,0.9333333333333332,0.0547464271966683,0.7999999999999999,1.0,0.0039006330165268,raw_cel_rma
task_a_three_class,random_forest,log_loss,0.1719256994007765,0.0458993370377377,0.0132918670767125,0.1673853260537448,0.1381331572162755,0.1974290537689328,0.1719256994007765,0.1544113376724944,0.0458993370377377,0.1166760002727273,0.2567216979455636,0.0132918670767125,raw_cel_rma
task_a_three_class,random_forest,roc_auc_ovr_macro,0.9933713786381662,0.0063529915498032,0.00199266185138,0.9962539069681928,0.9914352241941708,0.9993373069351508,0.9933713786381662,0.9955555555555556,0.0063529915498032,0.9838888888888888,1.0,0.00199266185138,raw_cel_rma
task_a_three_class,random_forest,brier_score_multiclass,0.0891327684498912,0.0353788979652658,0.0087334676691479,0.0831320724202759,0.061141094028562,0.1057854155637725,0.0891327684498912,0.0792707085086745,0.0353788979652658,0.0397378780914673,0.1506805529397438,0.0087334676691479,raw_cel_rma
task_b_field_effect,elastic_net,f1_macro,0.9926277926277928,0.0152626684124792,8.002082733056289e-05,0.9924854023863924,0.9758917380189536,1.0,0.9926277926277928,1.0,0.0152626684124792,0.9626769626769628,1.0,8.002082733056289e-05,raw_cel_rma
task_b_field_effect,elastic_net,balanced_accuracy,0.9949122807017544,0.0105364925743042,0.0001519342813656,0.9948979591836736,0.9838665848527348,1.0,0.9949122807017544,1.0,0.0105364925743042,0.9736842105263156,1.0,0.0001519342813656,raw_cel_rma
task_b_field_effect,elastic_net,log_loss,0.1263178496249517,0.0385005550249728,0.013309965568354,0.1255284945448272,0.1101646071104155,0.1456783362393574,0.1263178496249517,0.1278220111457503,0.0385005550249728,0.05020752673867,0.1883200814596853,0.013309965568354,raw_cel_rma
