"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE41258","GSM1012278",6.65365237396484,2.25415547356938,-1.63104172464222,0.57296630606032,0,0,0,FALSE,FALSE
"GSE41258","GSM1012279",6.67373324431938,2.08241055600246,-0.670571840811125,-1.26405285641567,0,0,0,FALSE,FALSE
"GSE41258","GSM1012280",6.65838578934721,2.20206003277856,-1.40464202970044,0.0157426958007587,0,0,0,FALSE,FALSE
"GSE41258","GSM1012281",6.66009238967302,2.23846480196748,-1.32301517848657,0.405135637105777,0,0,0,FALSE,FALSE
"GSE41258","GSM1012282",6.68648851194904,2.17879847745889,-0.0604862119415687,-0.233067711381076,0,0,0,FALSE,FALSE
"GSE41258","GSM1012283",6.68468037017486,2.0210123130716,-0.146969800010187,-1.92078116258178,0,0,0,FALSE,FALSE
"GSE41258","GSM1012284",6.64452513576941,2.17003142915443,-2.06759837056867,-0.3268418734454,0,0,0,FALSE,FALSE
"GSE41258","GSM1012285",6.67160724323888,2.13708420566412,-0.77225866885958,-0.679252190789957,0,0,0,FALSE,FALSE
"GSE41258","GSM1012286",6.71691256596256,2.04605301536776,1.39469910164862,-1.65294063133585,0,0,0,FALSE,FALSE
"GSE41258","GSM1012287",6.69647196019732,2.01139576109036,0.417023039896805,-2.02364179168653,0,0,0,FALSE,FALSE
"GSE41258","GSM1012288",6.64226974998196,2.1976984778945,-2.17547368110128,-0.0309093973948888,0,0,0,FALSE,FALSE
"GSE41258","GSM1012289",6.65754737919907,2.18424828703905,-1.44474326452615,-0.174775420858361,0,0,0,FALSE,FALSE
"GSE41258","GSM1012290",6.67376160212508,2.18709703686313,-0.669215484345045,-0.144304603496928,0,0,0,FALSE,FALSE
"GSE41258","GSM1012291",6.6818832901389,2.0981916989316,-0.280754396482694,-1.09525448743162,0,0,0,FALSE,FALSE
"GSE41258","GSM1012292",6.66809925395749,2.26422926537547,-0.940046120204814,0.680717666908507,0,0,0,FALSE,FALSE
"GSE41258","GSM1012293",6.71118419586061,2.04286637641408,1.12071063057018,-1.68702558071745,0,0,0,FALSE,FALSE
"GSE41258","GSM1012294",6.68800854561208,2.0575001513213,0.0122171385596868,-1.5304996974204,0,0,0,FALSE,FALSE
"GSE41258","GSM1012295",6.66952498463868,2.19568704258092,-0.871853290035421,-0.0524241255595628,0,0,0,FALSE,FALSE
"GSE41258","GSM1012296",6.66519003694654,2.08790667290525,-1.07919423854895,-1.2052652531919,0,0,0,FALSE,FALSE
"GSE41258","GSM1012297",6.67891802280227,2.18388008644327,-0.422583407081516,-0.178713770590395,0,0,0,FALSE,FALSE
"GSE41258","GSM1012298",6.67964022540752,2.16094875805022,-0.388040389765666,-0.423992002260138,0,0,0,FALSE,FALSE
