gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SUPT7L,,0.0387615510204089,0.0512037422612828,0.757006212995452,0.4506835762760333,0.4948397031483579,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUPV3L1,,0.2225516734693897,0.0527932093016868,4.215535983001485,4.351453251295646e-05,8.379011924015887e-05,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SURF1,,-0.6033627346938761,0.0545704319938179,-11.056587104940428,5.933685059242196e-21,3.6373909699926406e-20,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SURF2,,0.6013012653061205,0.0579608009066823,10.37427461146066,3.1616435183545616e-19,1.726841439743857e-18,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SURF4,,0.2716920408163261,0.0649716640830038,4.181700509767289,5.155130676987026e-05,9.839968730810324e-05,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SURF6,,0.5129599591836698,0.054916424823222,9.34073841905963,1.7114969949908076e-16,7.878844967269095e-16,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUSD1,,0.0572111428571417,0.0532070972294234,1.075253976183917,0.2840652599704976,0.326645884154987,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUSD2,,0.2122828571428558,0.0649853743386135,3.266625133783679,0.001356719086439,0.0021934220434575,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUSD3,,1.1174242040816296,0.1467928313067643,7.612253228813755,3.1937031616914077e-12,1.1088276476769583e-11,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUSD4,,-0.0597240204081632,0.0218089648927219,-2.7385077972267355,0.007491792622794,0.0109937365347205,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SUSD5,,0.0150943265306122,0.0212357590106801,0.7107975996064393,0.4786402914345353,0.5223725294573858,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUV39H1,,0.4742217551020418,0.0564154288774469,8.405887618654983,4.2764129598759633e-14,1.6956039724289538e-13,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUV39H2,,0.6794237346938772,0.0445983307339772,15.234286205610353,7.377274010587255e-32,9.857073485023256e-31,tumor_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
SUV420H1,,-0.388804551020411,0.0575901456472073,-6.751234028859678,3.8535936306343925e-10,1.1540173439332943e-09,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
SUV420H2,,-0.1933310408163255,0.0360985286702714,-5.355648774005056,7.578325178401524e-07,1.7282466330909691e-06,tumor_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
