gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
SOHLH2,-0.0600705246750801,0.0587483838868391,0.0647413061224488,0.1439379282548437,adjacent_vs_healthy,False,False,False,True
TRAPPC10,0.101290360854332,0.0753400925124892,-0.1503942040816355,0.009165966713137,adjacent_vs_healthy,False,False,False,True
ALDH1A3,-0.0603815857852199,0.0769860076498922,0.02478206122449,0.4773497931108195,adjacent_vs_healthy,False,False,False,True
HS6ST1,-0.0670357225410694,0.0785648178028518,0.081729755102041,0.1022546129599541,adjacent_vs_healthy,False,False,False,True
DHRS4,-0.0485492880779868,0.0835654391240544,0.0148866530612243,0.5888106230530057,adjacent_vs_healthy,False,False,False,True
CHEK2,-0.0698658354545723,0.136121975796171,0.0088866122448987,0.9158064840325276,adjacent_vs_healthy,False,False,False,True
PPP2CA,0.0600674933450209,0.160410074206582,-0.064515551020408,0.0480865833860871,adjacent_vs_healthy,False,False,False,True
ZNF8,0.0819487038160309,0.210275328879949,-0.1225040000000006,0.0054036579272771,adjacent_vs_healthy,False,False,False,True
SH3PXD2A,0.0614249429509561,0.218417313671165,-0.0747386122448983,0.0699617407137164,adjacent_vs_healthy,False,False,False,True
EEF1A2,-0.0484296352196258,0.230670743213508,0.004343346938775,0.9345120612760568,adjacent_vs_healthy,False,False,False,True
CCDC74B,-0.0468707319361101,0.323748377585932,0.0121005510204086,0.7094849524033027,adjacent_vs_healthy,False,False,False,True
RPL32,0.0416184475482595,0.325963039545063,-0.0590222448979602,0.3184621473832779,adjacent_vs_healthy,False,False,False,True
CD68,0.0782425395778663,0.335651256359415,-0.0454594489795923,0.6053373093422265,adjacent_vs_healthy,False,False,False,True
SDCBP2,-0.0638511562191413,0.335758037360063,-0.5573878367346925,4.649825158646287e-06,adjacent_vs_healthy,False,True,True,True
GFOD1,-0.0612985161893271,0.34676184056074,0.0798347551020404,0.1592826859263363,adjacent_vs_healthy,False,False,False,True
FCGR2A,0.111143742262207,0.367535378049024,-0.0021556938775511,0.9835229973123736,adjacent_vs_healthy,False,False,False,True
SEC31B,0.0612114022343682,0.38838484447291,-0.046280448979592,0.1581198243684163,adjacent_vs_healthy,False,False,False,True
AIDA,-0.0668375583442407,0.464739023198851,0.0617218367346934,0.2750160897988301,adjacent_vs_healthy,False,False,False,True
