task,model,metric,outer_fold_mean,outer_fold_sd,repeat_mean_sd,aggregated_oof_metric,aggregated_oof_bootstrap_ci_lower,aggregated_oof_bootstrap_ci_upper,mean,median,standard_deviation,fold_minimum,fold_maximum,repeat_mean_standard_deviation,analysis_provenance
task_a_three_class,elastic_net,f1_macro,0.9412808396977994,0.024130042979358064,0.0032754440252633177,0.9582328372561993,0.9291432710348121,0.982001530880431,0.9412808396977994,0.9511784511784512,0.024130042979358064,0.8941798941798943,0.9751179751179752,0.0032754440252633177,raw_cel_rma
task_a_three_class,elastic_net,balanced_accuracy,0.947251461988304,0.028449169750517606,0.005264132463376856,0.959591836734694,0.9298388488587824,0.9841232531575104,0.947251461988304,0.9649122807017544,0.028449169750517606,0.8833333333333333,0.9824561403508772,0.005264132463376856,raw_cel_rma
task_a_three_class,elastic_net,log_loss,0.177186195367803,0.051597986821984534,0.006884352192998387,0.17036014145503856,0.1416663721516165,0.2060806526941651,0.177186195367803,0.1744770451776564,0.051597986821984534,0.1089781117655183,0.2622465698573996,0.006884352192998387,raw_cel_rma
task_a_three_class,elastic_net,roc_auc_ovr_macro,0.9934559050883914,0.006443569980735047,0.00109702772398326,0.9947278911564625,0.9879036671341489,0.9993974970663478,0.9934559050883914,0.9958333333333332,0.006443569980735047,0.9802777777777778,1.0,0.00109702772398326,raw_cel_rma
task_a_three_class,elastic_net,brier_score_multiclass,0.08862580830029636,0.03144391482114227,0.00555554102536147,0.08079826476246517,0.05970182566721779,0.1057162667660369,0.08862580830029636,0.0903697838200244,0.03144391482114227,0.0419388890915027,0.1366080084687073,0.00555554102536147,raw_cel_rma
task_a_three_class,linear_svm,f1_macro,0.9619873241102125,0.03509221170276131,0.013284386195983024,0.9729581317062909,0.9497764050260648,0.9940585447449123,0.9619873241102125,0.9580361159308528,0.03509221170276131,0.8786192274564368,1.0,0.013284386195983024,raw_cel_rma
task_a_three_class,linear_svm,balanced_accuracy,0.958654970760234,0.040173231416899775,0.013573929592567296,0.969795918367347,0.9425520780898688,0.9934640522875817,0.958654970760234,0.9649122807017544,0.040173231416899775,0.8666666666666666,1.0,0.013573929592567296,raw_cel_rma
task_a_three_class,linear_svm,log_loss,0.1385834702450396,0.041106752036631174,0.011710225269876648,0.1346023586648482,0.11169421023899048,0.16169433145086512,0.1385834702450396,0.1270775252795559,0.041106752036631174,0.0729452209252219,0.2225536181758403,0.011710225269876648,raw_cel_rma
task_a_three_class,linear_svm,roc_auc_ovr_macro,0.9977426564495531,0.0038211791743101055,0.0014542983617250814,0.9990273947416805,0.997612095217376,0.9999591084105773,0.9977426564495531,0.9988888888888888,0.0038211791743101055,0.9855555555555556,1.0,0.0014542983617250814,raw_cel_rma
task_a_three_class,linear_svm,brier_score_multiclass,0.05982923500312311,0.030944175842650162,0.008812773145045772,0.05352513525106564,0.0364558561113015,0.07404416607759634,0.05982923500312311,0.0560094570719863,0.030944175842650162,0.0146707024740067,0.1256419120625134,0.008812773145045772,raw_cel_rma
task_a_three_class,random_forest,f1_macro,0.9333865845629953,0.05140465300103713,0.0047210470099355775,0.9572238452512369,0.9258209423636923,0.9837360617642803,0.9333865845629953,0.9337294142172192,0.05140465300103713,0.8136645962732919,1.0,0.0047210470099355775,raw_cel_rma
task_a_three_class,random_forest,balanced_accuracy,0.9276608187134502,0.0547464271966683,0.0039006330165268573,0.9497959183673469,0.9143274808241174,0.9807783018867925,0.9276608187134502,0.9333333333333332,0.0547464271966683,0.7999999999999999,1.0,0.0039006330165268573,raw_cel_rma
task_a_three_class,random_forest,log_loss,0.17192569940077654,0.0458993370377377,0.013291867076712583,0.16738532605374487,0.13813315721627556,0.19742905376893288,0.17192569940077654,0.1544113376724944,0.0458993370377377,0.1166760002727273,0.2567216979455636,0.013291867076712583,raw_cel_rma
