gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,reference_model,adjusted_model,effect_difference,effect_direction_agreement,significance_retained
CEP43,-0.508866937842715,7.48752346305443e-12,-0.479865643885937,1.6349278607377602e-09,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.029001293956777974,True,False
RAVER2,-0.519969045241792,7.66162267851379e-12,-0.461579281003185,7.941494551535311e-09,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.05838976423860698,True,False
HSPE1,-0.501628278627102,1.9921499547872897e-11,-0.43928460914864,2.22065623894199e-08,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.06234366947846204,True,False
NUPR2,-0.663990248085821,1.6773781334066701e-09,-0.481529587179484,8.79868637391517e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.18246066090633695,True,False
CPEB1,0.531602680846704,2.01208529137999e-09,0.497047779125648,1.82885516139257e-07,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.03455490172105602,True,False
IMPA2,-0.502047538259837,2.7191198958285e-09,-0.477854674338652,1.56784797806999e-07,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.02419286392118497,True,False
NDFIP2,-0.500989485549321,3.0865221619300302e-09,-0.4732517510966,2.08429758596134e-07,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.027737734452720986,True,False
ATXN7,0.500315787048235,3.9415235610852105e-09,0.497897977039952,5.72511124806456e-08,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.0024178100082830056,True,False
SLC22A5,-0.530405070549572,5.59116124944095e-09,-0.472325629455535,1.15774995462456e-06,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,0.058079441094036954,True,False
PRDM6,0.533989413238346,1.22446936311631e-08,0.496720522971898,8.77054752824775e-07,True,False,True,True,False,False,U0_unadjusted,U1_age_sex_adjusted,-0.03726889026644803,True,False
