gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
SCRN3,,0.0786734693877555,0.0430010587320187,1.829570520066628,0.0703859605231778,0.0954929947528363,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SCRT1,,0.0291459183673468,0.0173833946291594,1.6766528626380428,0.09683048955488,0.1278893258272,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SCRT2,,-0.0534785714285712,0.0306058389007049,-1.7473323179303402,0.0837445134372455,0.1118708718055956,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCT,,-0.1290142857142862,0.0614804112698812,-2.098461657127672,0.0384624424166666,0.0548352604727318,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCTR,,-0.0052142857142856,0.0296083815701688,-0.1761084340908131,0.8605759012075458,0.8839752459533703,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCUBE1,,-0.0340224489795915,0.0290810445908187,-1.169918393864475,0.2449003586684617,0.2969245306321645,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCUBE2,,-1.7937163265306122,0.1200241435202061,-14.944629254768548,6.607404777770946e-27,8.853271426372893e-26,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCUBE3,,0.1761489795918365,0.041815163023837,4.212562306439447,5.657174593660642e-05,0.0001150406966392,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SCYL1,,0.0600979591836727,0.0294582576947777,2.0401056914621045,0.0440580328224546,0.0621243386610039,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SCYL2,,-0.440629081632653,0.0477358127920083,-9.230576706686357,6.1524269363110705e-15,2.7944229214542642e-14,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SCYL3,,-0.1348994897959183,0.0389506300779706,-3.4633455100951887,0.0007955693271695,0.0014306422354844,tumor_vs_adjacent_normal_paired,down,unique_gene_symbol,processed_matrix_paired_t
SDAD1,,0.5821352040816334,0.0371209300733482,15.68212873253382,2.392947691033651e-28,3.7468523056974266e-27,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
SDC1,,0.367338775510202,0.082556183288625,4.449561024713915,2.2971137763499035e-05,4.849434117053128e-05,tumor_vs_adjacent_normal_paired,up,unique_gene_symbol,processed_matrix_paired_t
