"gene_symbol","u0_log2fc","u0_fdr","u1_log2fc","u1_fdr","u2_log2fc","u2_fdr","qc_log2fc","qc_fdr","deposited_log2fc","deposited_fdr","sample_direction_consistency","subgroups_tested","subgroup_labels","subgroup_sign_agreement_fraction","subgroup_effect_min","subgroup_effect_max","major_demographic_subgroup_dependence","healthy","adjacent_normal","tumor","healthy_to_adjacent","adjacent_to_tumor","trajectory_category","u0_screen","u1_adjusted_support","u2_location_support","qc_robust","unadjusted_adjusted_sign_agreement","location_adjusted_sign_agreement","qc_sign_agreement","deposited_support","direction_consistent","high_direction_consistency","subgroup_robust","evidence_score","evidence_tier","composition_adjusted_log2fc","composition_adjusted_fdr","composition_robust"
"GCG",-0.753269060171181,0.0164624931940192,-0.56930037523711,0.102107774673097,-0.820664198249711,0.0048896071465457,-0.572628003579074,0.100141582887074,-0.752316979591837,0.0099916258248466,0.653061224489796,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.45267574582255,-0.148523295501696,"False",7.78031462022059,7.0270455600494,3.12547831872556,-0.753269060171185,-3.90156724132385,"monotonic_down","True","False","True","False","True","True","True","True","False","False","True",0.569608353077452,"Tier 3 - exploratory",-0.621122108376766,0.202784940432896,FALSE
"GBP3",-0.540881952502819,0.0325241876769329,-0.407113670487991,0.14538154565676,-0.375857351204408,0.187238866075537,-0.381758553433993,0.166772763645154,-0.540871183673468,0.0273339360959473,0.683673469387755,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.770573201691582,-0.22599093606866,"False",8.46338921126887,7.92250725876606,6.53190123684702,-0.540881952502817,-1.39060602191904,"monotonic_down","True","False","False","False","True","True","True","True","False","False","True",0.561300691505638,"Tier 3 - exploratory",-0.081505637654855,0.870592136162162,FALSE
"CCL18",0.638967163004985,0.0393039988308349,0.47542565511507,0.170223467879488,0.322314229371102,0.346050913853612,0.501216474194652,0.142088226039525,0.63977069387755,0.034320644817815,0.612244897959184,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.118626775205431,0.889276862969209,"False",5.56608724743585,6.20505441044083,6.9420932314867,0.638967163004984,0.737038821045872,"monotonic_up","True","False","False","False","True","True","True","True","False","False","True",0.555486679117111,"Tier 3 - exploratory",-0.263966864540229,0.556264991665617,FALSE
"SST",-0.601580413370945,0.030371580224668,-0.230994607487213,0.457333771142383,-0.40206248426632,0.139291803049457,-0.230522125812278,0.456088910202321,-0.600903795918367,0.0229004571229136,0.653061224489796,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.07431555237974,-0.136716416511899,"False",6.93573108148444,6.3341506681135,2.71889769198787,-0.601580413370946,-3.61525297612563,"monotonic_down","True","False","False","False","True","True","True","True","False","False","True",0.540792409230453,"Tier 3 - exploratory",-0.351774636329103,0.423185416872235,FALSE
"ZNF726",-0.510571497657009,0.007698798600029,-0.367703380857413,0.0794230778659353,-0.399580440561514,0.0579516529731432,-0.35659114553225,0.088124480111008,-0.506140040816327,0.0153180429603734,0.693877551020408,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",0.833333333333333,-0.782728785912211,0.0276395369047546,"True",4.27789114231332,3.76731964465631,2.79380315649551,-0.510571497657007,-0.973516488160798,"monotonic_down","True","False","False","False","True","True","True","True","False","False","False",0.418961700827179,"Tier 3 - exploratory",-0.232332742996193,0.467442533788967,FALSE
"CARTPT",0.528950404176235,0.0135744272418994,0.444865719250944,0.0595473378607196,0.433451819624168,0.0713244250756033,0.451937080257906,0.0552817193169999,0.527467020408163,0.0007395150703176,0.540816326530612,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.209296333525521,0.827309331574427,"False",2.40417544935249,2.93312585352873,2.54359360763202,0.528950404176234,-0.389532245896705,"non_monotonic","True","False","False","False","True","True","True","True","False","False","True",0.403500866946819,"Tier 3 - exploratory",-0.509391860360014,0.0531430979377378,FALSE
"PLA2G2A",0.723440419402818,0.0175926836665273,0.651811984940807,0.0532638933203306,0.505059578682057,0.124921972026025,0.650543068961206,0.0541421798399598,0.722973673469387,0.0199067461128417,0.642857142857143,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",0.833333333333333,-0.00957980230345168,1.11738218324678,"True",8.01773052435386,8.74117094375668,6.65815158981155,0.723440419402818,-2.08301935394513,"adjacent_specific","True","False","False","False","True","True","True","True","False","False","False",0.290348784275463,"Tier 3 - exploratory",0.550815890061724,0.254233025237141,FALSE
