"gene_symbol","u0_log2fc","u0_fdr","u1_log2fc","u1_fdr","u2_log2fc","u2_fdr","qc_log2fc","qc_fdr","deposited_log2fc","deposited_fdr","sample_direction_consistency","subgroups_tested","subgroup_labels","subgroup_sign_agreement_fraction","subgroup_effect_min","subgroup_effect_max","major_demographic_subgroup_dependence","healthy","adjacent_normal","tumor","healthy_to_adjacent","adjacent_to_tumor","trajectory_category","u0_screen","u1_adjusted_support","u2_location_support","qc_robust","unadjusted_adjusted_sign_agreement","location_adjusted_sign_agreement","qc_sign_agreement","deposited_support","direction_consistent","high_direction_consistency","subgroup_robust","evidence_score","evidence_tier","composition_adjusted_log2fc","composition_adjusted_fdr","composition_robust"
"SAR1B",-0.785356477897745,1.55469104839088e-23,-0.761821850799668,4.49600242315942e-20,-0.753706719785638,1.70858672092881e-19,-0.765234268178471,3.69798715643923e-20,-0.785297020408164,7.09859342474569e-20,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.854519892241978,-0.694327331904492,"False",8.48874678553175,7.70339030763401,7.25401028811784,-0.785356477897746,-0.449380019516163,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.905437930990827,"Tier 2 - provisional",-0.563317445148666,2.47590807185345e-10,TRUE
"EAPP",-0.675649226432868,2.68055377512328e-30,-0.671237944959571,7.50396675598899e-27,-0.666615546775463,3.23614233077316e-26,-0.677415762138956,8.88795360520442e-28,-0.67367975510204,7.85820084698508e-33,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.750843573421829,-0.594732205256465,"False",8.66181782254859,7.98616859611572,7.2103338041301,-0.675649226432864,-0.775834791985622,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.905088424639969,"Tier 2 - provisional",-0.478184071168578,8.77004221563049e-15,FALSE
"FSTL1",0.986573434335356,1.88873811321337e-21,0.947742213898952,3.93222883658671e-18,0.930762106611383,1.56529906901243e-17,0.954571329438861,2.13204572431295e-18,0.985960795918367,4.93807944985681e-29,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.834816276889409,1.06600089692747,"False",5.40992472036006,6.39649815469541,6.48667151794121,0.986573434335352,0.0901733632457935,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.90484786944725,"Tier 2 - provisional",0.357148425571822,6.06845471300638e-06,FALSE
"NDUFB3",-0.703697160999655,3.91784202890184e-28,-0.665112913679614,7.72319558530116e-24,-0.660993652563502,2.84537199175451e-23,-0.664503832710961,1.28882627314711e-23,-0.704030530612245,5.19149442942885e-22,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.830710623332152,-0.559918358560024,"False",8.82052867864897,8.11683151764931,7.67658856462043,-0.703697160999656,-0.440242953028877,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.904650922405687,"Tier 2 - provisional",-0.6812853042175,2.94873286228482e-18,TRUE
"CRADD",-0.631310656722037,5.69638174482293e-29,-0.651711355782756,4.19630210710044e-27,-0.64223771586201,1.87189423228376e-26,-0.648805299042904,6.02655239534571e-27,-0.630426387755102,2.25534155189432e-27,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.665255457867901,-0.586761722624143,"False",5.80384230865412,5.17253165193209,4.50273359767214,-0.631310656722035,-0.669798054259944,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.903693668270197,"Tier 2 - provisional",-0.58141692997893,5.06475323592462e-18,TRUE
"JUNB",1.08002727232783,1.35839772661402e-21,0.988592261602341,1.83836618276686e-17,1.00119879601608,1.56529906901243e-17,0.993602077236183,1.47333861517715e-17,1.08134493877551,5.36298155600037e-27,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.914170563997777,1.24740663487502,"False",6.83890791106962,7.91893518339744,7.88594573975495,1.08002727232782,-0.0329894436424886,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.902981492577963,"Tier 2 - provisional",0.809610028558318,1.38882903387742e-09,TRUE
"GOLPH3L",-0.649307430498356,9.36232879383494e-27,-0.634117647169301,3.07923079204677e-23,-0.647977955773569,5.39751776783162e-24,-0.636702685499466,2.60800043502001e-23,-0.642861224489796,5.35806591658623e-28,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.717534361914725,-0.598844677221478,"False",6.98441032831639,6.33510289781804,6.09621276395161,-0.649307430498354,-0.238890133866434,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.902436974797807,"Tier 2 - provisional",-0.482013250432901,9.21226362879257e-13,FALSE
"CHD8",0.627697663610739,5.17723091294265e-30,0.624236976473105,1.26846934438956e-26,0.630459909899865,1.22563715227827e-26,0.624925704025672,1.82946200253522e-26,0.627906204081634,2.26650643480542e-26,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.551864039241194,0.67851871036626,"False",5.78956962970203,6.41726729331277,6.35440239331102,0.627697663610741,-0.0628649000017436,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.901731212605222,"Tier 2 - provisional",0.749499420189617,4.37769454550824e-27,TRUE
"NAV2",0.86778618206123,2.61534682635966e-21,0.860125298868315,1.03838916982182e-18,0.855831586542703,2.9962810705371e-18,0.866213024118133,5.65832305112727e-19,0.87438424489796,1.3321280253277e-24,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.81445058605861,0.964526234826752,"False",4.93086770705983,5.79865388912106,6.05531318033626,0.867786182061227,0.256659291215198,"monotonic_up","True","False","True","True","True","True","True","True","True","True","True",0.901262354096401,"Tier 2 - provisional",0.638441756003792,2.45639804163656e-09,TRUE
"C3orf38",-0.625882082773847,4.00187772432674e-36,-0.612122525535662,3.77603891143337e-32,-0.613511250476741,1.01344953036431e-31,-0.609536080337967,4.91626330044454e-32,-0.624661020408164,1.72320664884276e-28,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.652101528090694,-0.575570345666684,"False",6.75733574475573,6.13145366198188,6.18527071727067,-0.625882082773846,0.0538170552887891,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.900865894681119,"Tier 2 - provisional",-0.59056739631056,3.60554875661575e-23,TRUE
"NUDT16L1",-0.604110588133069,2.31154286746851e-27,-0.596847116363731,4.57567138211564e-24,-0.597107316712756,1.15644388292122e-23,-0.594933808159753,7.22512931377295e-24,-0.603461122448978,3.36617931323177e-32,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.646705392831202,-0.548528301976579,"False",7.11143181444976,6.50732122631669,6.42834838869376,-0.60411058813307,-0.0789728376229312,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.899774794025981,"Tier 2 - provisional",-0.40531928589309,2.89327047900367e-12,FALSE
"ZCCHC10",-0.713228220814518,1.07793769737314e-24,-0.662238531606483,2.43345265452345e-20,-0.646501386281084,9.75037828497332e-20,-0.662028683097119,3.45575571245153e-20,-0.713974612244897,8.21791482493521e-22,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.742771465901658,-0.647520913790653,"False",7.38935920489104,6.67613098407653,6.09859791391411,-0.713228220814512,-0.577533070162422,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.898771422498357,"Tier 2 - provisional",-0.453284590914252,7.50845663082179e-10,FALSE
"COL16A1",0.915310355356872,4.40316623478395e-21,0.880148599042709,9.85613621803693e-18,0.87893643548851,2.24091261346196e-17,0.881637851273939,1.15919518071278e-17,0.915301591836736,3.65962138917021e-25,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.772502575252902,0.977188565592026,"False",4.78425506683322,5.69956542219009,6.06998355362715,0.91531035535687,0.37041813143706,"monotonic_up","True","False","True","True","True","True","True","True","True","True","True",0.898626994952434,"Tier 2 - provisional",0.52812188381732,3.56288109156693e-07,TRUE
"PPP1CC",-0.550740070883808,3.23558935247769e-28,-0.576660200465805,4.46276167467292e-27,-0.554147099518773,1.33654018770706e-27,-0.578756624898835,3.94614221217242e-27,-0.549227551020408,2.38326909224476e-23,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.565906612192212,-0.490182804129539,"False",10.8000983508571,10.2493582799733,10.1472327352875,-0.550740070883808,-0.102125544685849,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.898332871461843,"Tier 2 - provisional",-0.436765335152927,2.78459024110527e-15,FALSE
"SNX7",-0.571651818560918,9.07694625411285e-28,-0.573928879608732,7.58861429457834e-25,-0.580810375876737,5.63372140964823e-25,-0.573217329711318,1.11807384506987e-24,-0.568947346938773,3.42703202598809e-24,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.626579726265685,-0.509274976843132,"False",7.72188836189452,7.1502365433336,6.93319559721871,-0.571651818560923,-0.217040946114885,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.898137777114909,"Tier 2 - provisional",-0.536509899870787,6.01465282956981e-17,TRUE
"KHNYN",-0.75954421481429,8.54587033815062e-23,-0.741201380195255,1.49108502718515e-19,-0.708412614946568,2.02836195389542e-19,-0.744590244980023,1.24806665654658e-19,-0.760265795918368,1.21171787361817e-24,0.969387755102041,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.817523806159272,-0.70693853263091,"False",6.79718518071391,6.03764096589962,5.97859506508897,-0.759544214814292,-0.0590459008106512,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.897330474962543,"Tier 2 - provisional",-0.546269104755172,7.57973774469652e-10,TRUE
"PECR",-0.685945743142736,1.45667097290293e-21,-0.693359457801098,2.36223951738042e-19,-0.668921821061519,6.44780243043688e-19,-0.690657771191034,3.7364325165327e-19,-0.68750506122449,3.58347859899282e-18,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.785124871263295,-0.617773839502081,"False",6.19525778137126,5.50931203822852,5.10750982936982,-0.685945743142735,-0.401802208858705,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.896859076054003,"Tier 2 - provisional",-0.569635062952116,7.19211140938479e-11,TRUE
