"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"JAKMIP2",9832,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.026694732920882,0.0679833899501539,-0.394765839638283,0.693594931601865,0.810455521009325,2.42700951229449,-0.16034462400073,0.106955158158966,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ZNF746",155061,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0127904896399543,0.0319284889919834,0.394710859244409,0.693635421804897,0.810455521009325,3.74890523031613,-0.0512553154294213,0.0768362947093298,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"STAG3",10734,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0261105049830123,0.0664897884557296,0.394695707207538,0.693646580648027,0.810455521009325,2.77912507108455,-0.104637617759509,0.156858627725534,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SRSF4",6429,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0220084027941962,0.0559110846279909,-0.394641085572973,0.693686807760605,0.810455521009325,7.50460028305431,-0.132230538667668,0.0882137330792753,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"BSPRY",54836,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.048529625236481,0.124159616627679,0.394565501115105,0.693742474770426,0.810465901263364,6.43706333935971,-0.194562237396167,0.291621487869129,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"TRIP13",9319,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",0.0535405225981652,0.137042087729227,0.394509991772941,0.693783357771581,0.810465901263364,5.29346737625383,-0.21468938043635,0.32177042563268,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"DSC3",1825,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0109314565879514,0.027050154517795,-0.394272260582813,0.693958458565916,0.810619236773251,2.12874085135022,-0.0657294183814996,0.0438665052055967,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"ABTB1",80325,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0269235206303939,0.0686845462332368,-0.39413130123525,0.69406228990265,0.810669150945341,3.09083827818732,-0.161935876664155,0.108088835403367,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"CDPF1",150383,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0161699627843925,0.0408320741375386,-0.39408883805451,0.694093569624111,0.810669150945341,4.06969045332966,-0.0972655979697929,0.0649256724010079,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"BEND7",222389,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.0160459968509324,0.0405144299042373,-0.394035690861553,0.694132720268612,0.810669150945341,3.7358486293484,-0.0965307720496386,0.0644387783477739,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
