gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
MFAP5,,3.3658004489795905,0.15963176180383226,21.084779187714187,6.55180908225444e-45,5.940306901244026e-42,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,2.8928720000000006,6.258672448979591,3.5673265306122466,3.3658004489795905,-2.6913459183673445,adjacent_specific,0.15
SFRP1,,2.3377582653061206,0.10735936673319635,21.7750750255056,1.5733785353260782e-44,1.3616876051185695e-41,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.17623,5.5139882653061205,2.665429081632654,2.3377582653061206,-2.8485591836734665,adjacent_specific,0.15
CILP,,3.2013255918367367,0.143619760912858,22.290286319158803,1.968676654263983e-44,1.6297218911820101e-41,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,2.8696539999999997,6.070979591836736,3.0568489795918365,3.2013255918367367,-3.0141306122449,adjacent_specific,0.15
TGFBR3,,1.985777918367349,0.09776772499778502,20.311180590653386,2.7652716671087767e-44,2.1937821892396293e-41,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,5.969368,7.955145918367349,6.820897959183673,1.985777918367349,-1.1342479591836758,adjacent_specific,0.15
HTRA1,,2.4765083061224464,0.12118886744741415,20.435113870480258,9.394270381949904e-44,7.154676322893046e-41,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,4.436532000000001,6.913040306122447,6.879460204081632,2.4765083061224464,-0.03358010204081463,field_shift_then_plateau,0.15
COL6A3,,2.3102878775510183,0.11210012439000235,20.60914642265162,1.0384653220527422e-43,7.604761435340082e-41,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,5.560406,7.870693877551019,8.552471428571426,2.3102878775510183,0.6817775510204074,monotonic_up,0.15
CTGF,,2.6475964897959194,0.1300486866688993,20.358502324107544,1.7864164734141073e-43,1.2403209680257947e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.895427999999999,7.543024489795918,7.2789183673469395,2.6475964897959194,-0.2641061224489789,non_monotonic,0.15
C1R,,1.935192367346935,0.09380667240092261,20.629581220790662,1.824001423567345e-43,1.2403209680257947e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,6.673876000000003,8.609068367346937,8.160248979591836,1.935192367346935,-0.4488193877551012,non_monotonic,0.15
GAL,,3.0059716122448976,0.13768946479121327,21.831529498665937,2.0350609232641047e-43,1.3361227578947776e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.5786089999999997,5.584580612244897,5.902005102040816,3.0059716122448976,0.3174244897959184,monotonic_up,0.15
SLIT3,,2.1393151020408165,0.1003159424602191,21.325773845858798,2.502633496245826e-43,1.588338058950684e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.753890000000001,4.893205102040818,2.951201020408164,2.1393151020408165,-1.9420040816326538,adjacent_specific,0.15
SIK1,,2.7890422448979617,0.14121406811776374,19.750456042184652,5.461638677010275e-43,3.354503239041149e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.211419999999999,7.00046224489796,7.097143877551021,2.7890422448979617,0.09668163265306084,field_shift_then_plateau,0.15
AG2,,2.0166635510204056,0.10308138590385707,19.56379935463156,1.654305539455013e-42,9.843117959757327e-40,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,6.008864000000001,8.025527551020406,7.596965306122452,2.0166635510204056,-0.4285622448979547,non_monotonic,0.15
CH25H,,2.1084332653061235,0.10446558587207737,20.183041598866748,2.621747632070132e-42,1.5126689368065246e-39,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.4467299999999996,5.555163265306123,5.516427551020406,2.1084332653061235,-0.03873571428571676,field_shift_then_plateau,0.15
RSPO3,,2.3794770612244873,0.11819298538664368,20.13213435163284,2.9644193244382534e-42,1.6600748216854218e-39,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,4.678076,7.057553061224487,5.137772448979591,2.3794770612244873,-1.919780612244896,adjacent_specific,0.15
WISP2,,2.34587775510204,0.11788217384920627,19.90019083040379,8.579271793925513e-42,4.667123855895479e-39,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.0751599999999994,5.42103775510204,2.955855102040816,2.34587775510204,-2.4651826530612237,adjacent_specific,0.15
MUSTN1,,2.459872693877551,0.12207618606336403,20.15030755139046,1.1032622924843502e-41,5.835031680250563e-39,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.625762,5.085634693877551,2.6115775510204076,2.459872693877551,-2.474057142857143,adjacent_specific,0.15
ZFP36,,1.1319671428571407,0.05961954763492895,18.986510092102105,5.0749128058481e-41,2.611522697928319e-38,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,9.45039,10.582357142857141,9.97763163265306,1.1319671428571407,-0.6047255102040818,adjacent_specific,0.15
NNMT,,2.452948040816329,0.1263543663170594,19.413243185132025,1.2387560785816872e-40,6.206819930577718e-38,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,5.186104,7.639052040816329,7.920222448979589,2.452948040816329,0.28117040816326,monotonic_up,0.15
LYVE1,,2.106905714285713,0.11248426571597891,18.730670470887176,2.6740893522161333e-40,1.3055041350306455e-37,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.7616799999999997,5.868585714285713,3.438583163265306,2.106905714285713,-2.4300025510204066,adjacent_specific,0.15
