comparison,shared_tested_genes,pearson_log2fc_correlation,spearman_rank_correlation,sign_agreement_fraction,top_100_gene_overlap,raw_significant_genes,deposited_significant_genes,significant_gene_overlap,materially_changed_genes,pathway_agreement
adjacent_vs_healthy,15879,0.997910287792734,0.9955230280887372,0.9940802317526293,67,1478,1483,1466,123,reported after raw enrichment; no mechanism inferred
tumor_vs_healthy,15879,0.9978067459229112,0.9972946024898013,0.9955916619434473,59,4403,4422,4384,124,reported after raw enrichment; no mechanism inferred
tumor_vs_adjacent_paired,15879,0.9977100911499268,0.9970482861684297,0.9945210655582846,99,3958,3980,3943,135,reported after raw enrichment; no mechanism inferred
