task,selected_model,elastic_net_mean_macro_f1,best_comparator_point_estimate,decision_rule,analysis_provenance
task_a_three_class,elastic_net,0.9412808396977994,0.9619873241102125,Elastic Net was prespecified as the primary scientific model; comparators are sensitivity benchmarks.,raw_cel_rma
task_b_field_effect,elastic_net,0.9926277926277927,0.9975579975579976,Elastic Net was prespecified as the primary scientific model; comparators are sensitivity benchmarks.,raw_cel_rma
task_c_tumor_vs_adjacent,elastic_net,0.9847133562345373,0.9898106455423529,Elastic Net was prespecified as the primary scientific model; comparators are sensitivity benchmarks.,raw_cel_rma
