task,class,gene_symbol,selected_folds,positive_fraction,median_coefficient,median_absolute_coefficient,selection_frequency,sign_consistency,selected_for_final_signature
task_a_three_class,tumor,SLC4A4,7,0.0,-0.028081577271223,0.028081577271223,0.7,1.0,True
task_b_field_effect,healthy,CLC,10,1.0,0.24601119756698603,0.24601119756698603,1.0,1.0,True
task_b_field_effect,healthy,VIP,10,0.0,-0.2222437188029289,0.2222437188029289,1.0,1.0,True
task_b_field_effect,healthy,FOS,10,0.0,-0.2015607878565788,0.2015607878565788,1.0,1.0,True
task_b_field_effect,healthy,CYR61,10,0.0,-0.1674978360533714,0.1674978360533714,1.0,1.0,True
task_b_field_effect,healthy,SFRP2,10,0.0,-0.16732504963874814,0.16732504963874814,1.0,1.0,True
task_b_field_effect,healthy,DYNC1H1,10,0.0,-0.14937625080347056,0.14937625080347056,1.0,1.0,True
task_b_field_effect,healthy,APOLD1,10,0.0,-0.11350840330123901,0.11350840330123901,1.0,1.0,True
task_b_field_effect,healthy,EGR1,10,0.0,-0.11105722934007639,0.11105722934007639,1.0,1.0,True
task_b_field_effect,healthy,C3orf38,10,1.0,0.07882276549935335,0.07882276549935335,1.0,1.0,True
task_b_field_effect,healthy,ADAMTS1,8,0.0,-0.055244928225874845,0.055244928225874845,0.8,1.0,True
task_b_field_effect,healthy,SNORA12,7,1.0,0.1454678773880005,0.1454678773880005,0.7,1.0,True
task_b_field_effect,healthy,CH25H,7,0.0,-0.0815747454762458,0.0815747454762458,0.7,1.0,True
task_c_tumor_vs_adjacent,tumor,FOXQ1,10,1.0,0.20268004387617106,0.20268004387617106,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,ETV4,10,1.0,0.1954495012760162,0.1954495012760162,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,KIAA1199,10,1.0,0.191620334982872,0.191620334982872,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,GTF2IRD1,10,1.0,0.1841208860278129,0.1841208860278129,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,CA7,10,0.0,-0.1593773812055587,0.1593773812055587,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,CDH3,10,1.0,0.15470795333385465,0.15470795333385465,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,OTOP2,10,0.0,-0.13509390130639076,0.13509390130639076,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,UGP2,10,0.0,-0.11159215122461316,0.11159215122461316,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,GUCA2B,10,0.0,-0.09332875907421105,0.09332875907421105,1.0,1.0,True
task_c_tumor_vs_adjacent,tumor,CLDN1,9,1.0,0.1775818169116974,0.1775818169116974,0.9,1.0,True
task_c_tumor_vs_adjacent,tumor,SLC4A4,9,0.0,-0.0712896585464477,0.0712896585464477,0.9,1.0,True
task_c_tumor_vs_adjacent,tumor,PPM1H,8,1.0,0.11709471791982645,0.11709471791982645,0.8,1.0,True
task_c_tumor_vs_adjacent,tumor,AQP8,8,0.0,-0.1018465273082256,0.1018465273082256,0.8,1.0,True
task_c_tumor_vs_adjacent,tumor,ABCG2,8,0.0,-0.09624442458152765,0.09624442458152765,0.8,1.0,True
task_c_tumor_vs_adjacent,tumor,TMIGD1,8,0.0,-0.07896461896598335,0.07896461896598335,0.8,1.0,True
task_c_tumor_vs_adjacent,tumor,GREM2,7,0.0,-0.1987293362617492,0.1987293362617492,0.7,1.0,True
task_c_tumor_vs_adjacent,tumor,TMEM206,7,1.0,0.1739030927419662,0.1739030927419662,0.7,1.0,True
task_c_tumor_vs_adjacent,tumor,TMEM100,7,0.0,-0.1282282024621963,0.1282282024621963,0.7,1.0,True
task_c_tumor_vs_adjacent,tumor,BEST4,7,0.0,-0.073272481560707,0.073272481560707,0.7,1.0,True
