task,class,gene_symbol,selected_folds,positive_fraction,median_coefficient,median_absolute_coefficient,coefficient_standard_deviation,repeat_count,selection_frequency,sign_consistency,analysis_provenance,selected_for_full_stable_signature
task_b_field_effect,healthy,CCN1,15,0.0,-0.16413700580596924,0.16413700580596924,0.03744555346441831,3,1.0,1.0,raw_cel_rma,True
task_b_field_effect,healthy,SFRP2,15,0.0,-0.15719985961914062,0.15719985961914062,0.02648934298235464,3,1.0,1.0,raw_cel_rma,True
task_b_field_effect,healthy,EGR1,15,0.0,-0.15652143955230713,0.15652143955230713,0.04312200556093302,3,1.0,1.0,raw_cel_rma,True
task_b_field_effect,healthy,APOLD1,15,0.0,-0.13198524713516235,0.13198524713516235,0.0365849907504577,3,1.0,1.0,raw_cel_rma,True
task_b_field_effect,healthy,ADAMTS1,14,0.0,-0.054843731224536896,0.054843731224536896,0.0461100947642158,3,0.9333333333333333,1.0,raw_cel_rma,True
task_b_field_effect,healthy,C3orf38,13,1.0,0.09376920014619827,0.09376920014619827,0.05006219816416479,3,0.8666666666666667,1.0,raw_cel_rma,True
task_b_field_effect,healthy,OGN,13,0.0,-0.03589295223355293,0.03589295223355293,0.04416998989736197,3,0.8666666666666667,1.0,raw_cel_rma,True
task_b_field_effect,healthy,KLF2,12,0.0,-0.09492391720414162,0.09492391720414162,0.04395373328334922,3,0.8,1.0,raw_cel_rma,True
task_b_field_effect,healthy,CH25H,12,0.0,-0.08542551100254059,0.08542551100254059,0.0425390480578747,3,0.8,1.0,raw_cel_rma,True
task_b_field_effect,healthy,CD248,12,0.0,-0.08259453810751438,0.08259453810751438,0.035771397691127325,3,0.8,1.0,raw_cel_rma,True
task_b_field_effect,healthy,RSPO3,12,0.0,-0.03363868314772844,0.03363868314772844,0.041053749091718,3,0.8,1.0,raw_cel_rma,True
task_b_field_effect,healthy,C1R,11,0.0,-0.10073945671319962,0.10073945671319962,0.05536175840189686,3,0.7333333333333333,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,FOXQ1,15,1.0,0.20542441308498383,0.20542441308498383,0.07262236767947568,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,CEMIP,15,1.0,0.1989036202430725,0.1989036202430725,0.06639510056065541,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,ETV4,15,1.0,0.19798310101032257,0.19798310101032257,0.04464600805972949,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,GTF2IRD1,15,1.0,0.19074095785617828,0.19074095785617828,0.043937175448248954,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,CDH3,15,1.0,0.17721566557884216,0.17721566557884216,0.04438221534134323,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,CA7,15,0.0,-0.1620509922504425,0.1620509922504425,0.03363107904962614,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,OTOP2,15,0.0,-0.1529996246099472,0.1529996246099472,0.03797135246529477,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,UGP2,15,0.0,-0.14067193865776062,0.14067193865776062,0.0442744555779909,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,GUCA2B,15,0.0,-0.1386096328496933,0.1386096328496933,0.05128822674094227,3,1.0,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,PPM1H,14,1.0,0.15386545658111572,0.15386545658111572,0.05497695106916918,3,0.9333333333333333,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,SLC4A4,14,0.0,-0.1309807449579239,0.1309807449579239,0.05173256481247109,3,0.9333333333333333,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,CLDN1,12,1.0,0.17824990302324295,0.17824990302324295,0.03709762033808826,3,0.8,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,ABCG2,12,0.0,-0.1508415788412094,0.1508415788412094,0.05688387963506479,3,0.8,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,AQP8,12,0.0,-0.13441263139247894,0.13441263139247894,0.05226829951325056,3,0.8,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,TMIGD1,12,0.0,-0.12179027125239372,0.12179027125239372,0.04534083211036092,3,0.8,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,GREM2,10,0.0,-0.1959395930171013,0.1959395930171013,0.08857921042113887,3,0.6666666666666666,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,PACC1,10,1.0,0.1924385353922844,0.1924385353922844,0.08314747582076114,3,0.6666666666666666,1.0,raw_cel_rma,True
task_c_tumor_vs_adjacent,tumor,BEST4,10,0.0,-0.14761927723884583,0.14761927723884583,0.03929816292163391,3,0.6666666666666666,1.0,raw_cel_rma,True
