analysis_component,primary_value,sensitivity_value,comparison
borderline_samples,0.0,1.0,GSM1077736
significant_DE_genes,1580.0,1584.0,FDR<0.05 and |log2FC|>=0.5
top_100_gene_overlap,100.0,97.0,ranked by adjusted p-value
log2FC_pearson,1.0,0.9998813705918352,all shared tested genes
top_20_pathway_term_overlap,5.0,1.0,primary ranked U1 versus QC-excluded over-representation; extracellular matrix organization
task_b_aggregated_oof_macro_f1,1.0,1.0,five-gene panel; repeated grouped OOF
task_b_aggregated_oof_balanced_accuracy,1.0,1.0,five-gene panel; repeated grouped OOF
task_b_reselected_panel_overlap,5.0,4.0,shared=CLC;DYNC1H1;FOS;VIP; sensitivity=APOLD1;CLC;DYNC1H1;FOS;VIP
top_ranked_pathway_term_overlap,5.0,1.0,primary ranked U1 versus QC-excluded over-representation; extracellular matrix organization
