gene_symbol,entrez_id,comparison,log2_fold_change,standard_error,moderated_statistic,p_value,adjusted_p_value,average_expression,confidence_interval_lower,confidence_interval_upper,direction,mapping_status,analysis_provenance_x,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance_y,deposited_log2fc,deposited_adjusted_p_value,deposited_sign_agreement,outlier_sensitivity_status,analysis_provenance,candidate_rule
SPINK1,6690,adjacent_vs_healthy,-0.698777251754336,0.143884002027236,-4.89999652356051,2.47528496237184e-06,1.14391449523258e-05,10.6365142910509,-0.980574504925062,-0.416979998583611,down,mapped_unique,raw_cel_rma_limma,0.8571428571428571,11.099218146942338,10.400440895187998,10.982166915387944,-0.6987772517543398,0.5817260201999463,adjacent_specific,0.15,raw_cel_rma,-0.6986207346938773,6.541419439346448e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
POPDC2,64091,adjacent_vs_healthy,1.460043029926,0.302664240900657,4.8698071507553,2.82454452880118e-06,1.29048253860968e-05,4.17119854102763,0.867598544505415,2.05248751534658,up,mapped_unique,raw_cel_rma_limma,0.9081632653061225,3.2044132914820405,4.664456321408037,3.573830553378881,1.460043029925996,-1.0906257680291556,adjacent_specific,0.15,raw_cel_rma,1.45646812244898,1.3607467422954021e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
IL3RA,3563,adjacent_vs_healthy,0.540802299466471,0.112101737586095,4.86515955442255,2.88238918044048e-06,1.31496116324561e-05,4.92654577451306,0.321150274730956,0.760454324201985,up,mapped_unique,raw_cel_rma_limma,0.8367346938775511,4.568446954596075,5.109249254062544,4.404283714232967,0.5408022994664687,-0.7049655398295762,adjacent_specific,0.15,raw_cel_rma,0.5409670612244897,6.018786250734978e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
STMN2,11075,adjacent_vs_healthy,0.700306305252676,0.145398198602935,4.8596488925861,2.95246407113449e-06,1.34560169276009e-05,6.43892783496909,0.415547663487849,0.985064947017503,up,mapped_unique,raw_cel_rma_limma,0.7857142857142857,5.97521149770718,6.675517802959856,3.6431049426270565,0.7003063052526759,-3.0324128603327996,adjacent_specific,0.15,raw_cel_rma,0.6997361020408164,4.458220103914356e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
KCTD9,54793,adjacent_vs_healthy,-0.532985405842257,0.110694523516693,-4.85564758608615,3.00437726053214e-06,1.36791271970547e-05,4.93899683161905,-0.749886592232156,-0.316084219452358,down,mapped_unique,raw_cel_rma_limma,0.8061224489795918,5.291919600352437,4.758934194510178,3.4166420779462254,-0.5329854058422594,-1.3422921165639523,monotonic_down,0.15,raw_cel_rma,-0.5325387755102042,8.51552023419338e-06,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
FCGR3B,2215,adjacent_vs_healthy,0.716041997654403,0.148842977844867,4.85400009118907,3.02600805112636e-06,1.37708316183427e-05,2.65881783263728,0.424546074986805,1.007537920322,up,mapped_unique,raw_cel_rma_limma,0.8469387755102041,2.1846819152715238,2.9007239129259275,3.6687172066857996,0.7160419976544037,0.7679932937598721,monotonic_up,0.15,raw_cel_rma,0.7122566122448974,1.1260749412353216e-08,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
IFI35,3430,adjacent_vs_healthy,0.501048954731306,0.104086894535688,4.8537145475423,3.02977240923521e-06,1.37845698441828e-05,7.57401714093799,0.297063266505127,0.705034642957486,up,mapped_unique,raw_cel_rma_limma,0.7448979591836735,7.242241481724025,7.743290436455322,7.089650410469134,0.5010489547312966,-0.6536400259861876,adjacent_specific,0.15,raw_cel_rma,0.5012210816326537,3.0784888453965985e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
DPEP1,1800,adjacent_vs_healthy,-0.518077060272058,0.10788267029589,-4.84254087696261,3.18069211682445e-06,1.44139970222334e-05,3.20177595857731,-0.729481856651951,-0.306672263892166,down,mapped_unique,raw_cel_rma_limma,0.8877551020408163,3.544826984973671,3.026749924701615,7.427896118447241,-0.5180770602720561,4.401146193745626,adjacent_specific,0.15,raw_cel_rma,-0.5169700612244901,0.000105024977751,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
ST3GAL4,6484,adjacent_vs_healthy,1.13426686676415,0.236540135795607,4.84031223920763,3.21165298955957e-06,1.45333978896125e-05,5.87056284199308,0.67120860516956,1.59732512835874,up,mapped_unique,raw_cel_rma_limma,0.8061224489795918,5.119494241027621,6.253761107791777,4.825524227393364,1.1342668667641558,-1.428236880398413,adjacent_specific,0.15,raw_cel_rma,1.1422231428571423,2.4667306775594426e-05,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
SAMD9,54809,adjacent_vs_healthy,0.655782530662023,0.136786441931772,4.8367499584562,3.26174841969045e-06,1.47240547558781e-05,8.8629219495138,0.387865713115916,0.92369934820813,up,mapped_unique,raw_cel_rma_limma,0.8061224489795918,8.428687571102465,9.084470101764483,6.892159514762432,0.6557825306620177,-2.1923105870020505,adjacent_specific,0.15,raw_cel_rma,0.6539645306122441,7.234771379792062e-07,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
