probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715170_x_at,HNRNPCL3,649330.0,4,4,ambiguous,GSE44076
11715170_x_at,HNRNPCL4,101060301.0,4,4,ambiguous,GSE44076
11715171_at,DEPDC5,9681.0,1,1,mapped_unique,GSE44076
11715172_at,DEPDC5,9681.0,1,1,mapped_unique,GSE44076
11715173_s_at,KRTAP10-12,386685.0,2,2,ambiguous,GSE44076
11715173_s_at,KRTAP10-7,386675.0,2,2,ambiguous,GSE44076
11715174_s_at,KRTAP10-1,386677.0,1,1,mapped_unique,GSE44076
11715175_x_at,KRTAP10-3,386682.0,1,1,mapped_unique,GSE44076
11715176_at,TDRKH,11022.0,1,1,mapped_unique,GSE44076
11715177_s_at,TDRKH,11022.0,1,1,mapped_unique,GSE44076
11715178_s_at,OR2A14,135941.0,1,1,mapped_unique,GSE44076
11715179_s_at,KRTAP19-1,337882.0,1,1,mapped_unique,GSE44076
11715180_s_at,CGB1,114335.0,2,2,ambiguous,GSE44076
11715180_s_at,CGB2,114336.0,2,2,ambiguous,GSE44076
11715181_x_at,KRTAP10-9,386676.0,1,1,mapped_unique,GSE44076
11715182_x_at,FAM86C1P,55199.0,1,1,mapped_unique,GSE44076
11715183_s_at,ZNF391,346157.0,1,1,mapped_unique,GSE44076
11715184_x_at,RPL38,6169.0,1,1,mapped_unique,GSE44076
11715185_x_at,PRB1,5542.0,1,1,mapped_unique,GSE44076
11715186_x_at,PRB1,5542.0,1,1,mapped_unique,GSE44076
11715187_x_at,PRB1,5542.0,1,1,mapped_unique,GSE44076
11715188_at,H3-5,440093.0,1,1,mapped_unique,GSE44076
11715189_s_at,H3-3A,3020.0,4,4,ambiguous,GSE44076
11715189_s_at,H3-3B,3021.0,4,4,ambiguous,GSE44076
11715189_s_at,H3-5,440093.0,4,4,ambiguous,GSE44076
11715189_s_at,MIR4738,100616282.0,4,4,ambiguous,GSE44076
11715190_s_at,FAM221A,340277.0,1,1,mapped_unique,GSE44076
11715191_s_at,FAM221A,340277.0,1,1,mapped_unique,GSE44076
11715192_s_at,FAM221A,340277.0,1,1,mapped_unique,GSE44076
11715193_s_at,UNCX,340260.0,1,1,mapped_unique,GSE44076
11715194_s_at,ZNF835,90485.0,1,1,mapped_unique,GSE44076
11715195_at,IMPACT,55364.0,1,1,mapped_unique,GSE44076
11715196_s_at,LHFPL7,255349.0,1,1,mapped_unique,GSE44076
11715197_s_at,PYGO1,26108.0,1,1,mapped_unique,GSE44076
11715198_s_at,DBET,100419743.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4,100288687.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L1,22947.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L2,728410.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L24,102723449.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L3,653548.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L4,441056.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L5,653545.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L6,653544.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L7,653543.0,11,11,ambiguous,GSE44076
11715198_s_at,DUX4L8,26583.0,11,11,ambiguous,GSE44076
11715199_s_at,DBET,100419743.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4,100288687.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L1,22947.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L2,728410.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L24,102723449.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L3,653548.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L4,441056.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L5,653545.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L6,653544.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L7,653543.0,11,11,ambiguous,GSE44076
11715199_s_at,DUX4L8,26583.0,11,11,ambiguous,GSE44076
11715200_s_at,DBET,100419743.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4,100288687.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L1,22947.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L2,728410.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L24,102723449.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L3,653548.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L4,441056.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L5,653545.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L6,653544.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L7,653543.0,11,11,ambiguous,GSE44076
11715200_s_at,DUX4L8,26583.0,11,11,ambiguous,GSE44076
11715201_s_at,DBET,100419743.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4,100288687.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L1,22947.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L2,728410.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L24,102723449.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L3,653548.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L4,441056.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L5,653545.0,11,11,ambiguous,GSE44076
11715201_s_at,DUX4L6,653544.0,11,11,ambiguous,GSE44076
