"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE44076","GSE44076_RAW.tar","GSM1077598_CLX_RNA_A2119_M.CEL.gz","GSM1077598","data/interim/cel/GSE44076/GSM1077598_CLX_RNA_A2119_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077599_CLX_RNA_A2142_M.CEL.gz","GSM1077599","data/interim/cel/GSE44076/GSM1077599_CLX_RNA_A2142_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077600_CLX_RNA_B2104_M.CEL.gz","GSM1077600","data/interim/cel/GSE44076/GSM1077600_CLX_RNA_B2104_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077601_CLX_RNA_B2127_M.CEL.gz","GSM1077601","data/interim/cel/GSE44076/GSM1077601_CLX_RNA_B2127_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077602_CLX_RNA_B2150_M.CEL.gz","GSM1077602","data/interim/cel/GSE44076/GSM1077602_CLX_RNA_B2150_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077603_CLX_RNA_C2113_M.CEL.gz","GSM1077603","data/interim/cel/GSE44076/GSM1077603_CLX_RNA_C2113_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077604_CLX_RNA_C2136_M.CEL.gz","GSM1077604","data/interim/cel/GSE44076/GSM1077604_CLX_RNA_C2136_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077605_CLX_RNA_D2102_M.CEL.gz","GSM1077605","data/interim/cel/GSE44076/GSM1077605_CLX_RNA_D2102_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077606_CLX_RNA_D2125_M.CEL.gz","GSM1077606","data/interim/cel/GSE44076/GSM1077606_CLX_RNA_D2125_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077607_CLX_RNA_D2148_M.CEL.gz","GSM1077607","data/interim/cel/GSE44076/GSM1077607_CLX_RNA_D2148_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077608_CLX_RNA_E2115_M.CEL.gz","GSM1077608","data/interim/cel/GSE44076/GSM1077608_CLX_RNA_E2115_M.CEL.gz",TRUE,TRUE
"GSE44076","GSE44076_RAW.tar","GSM1077609_CLX_RNA_E2138_M.CEL.gz","GSM1077609","data/interim/cel/GSE44076/GSM1077609_CLX_RNA_E2138_M.CEL.gz",TRUE,TRUE
