geo_accession,sample_title,original_tissue,tissue_class,patient_id,donor_or_patient_group,pairing_status,platform,cel_filename,cel_present_in_tar,author_included,technical_replicate_candidate,technical_replicate_rule,inclusion_status,exclusion_reason,metadata_parsing_source,metadata_parsing_confidence
GSM1012452,Liver Metastasis 79744UR4,Liver Metastasis,liver_metastasis,79744,79744,patient_grouped,GPL96,GSM1012452_79744UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012453,Liver Metastasis 80649UR4,Liver Metastasis,liver_metastasis,80649,80649,patient_grouped,GPL96,GSM1012453_80649UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012454,Polyp A0022BR4,Polyp,polyp,A0022,A0022,patient_grouped,GPL96,GSM1012454_A0022BR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012455,Primary Tumor A0319AR4,Primary Tumor,primary_tumor,A0319,A0319,patient_grouped,GPL96,GSM1012455_A0319AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012456,Primary Tumor A0702AR4,Primary Tumor,primary_tumor,A0702,A0702,patient_grouped,GPL96,GSM1012456_A0702AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012457,Liver Metastasis A1288UR4,Liver Metastasis,liver_metastasis,A1288,A1288,patient_grouped,GPL96,GSM1012457_A1288UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012458,Polyp A1327BR3,Polyp,polyp,A1327,A1327,patient_grouped,GPL96,GSM1012458_A1327BR3.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012459,Normal Colon A1327HR2,Normal Colon,normal_colon,A1327,A1327,patient_grouped,GPL96,GSM1012459_A1327HR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012460,Liver Metastasis A1423UR4,Liver Metastasis,liver_metastasis,A1423,A1423,patient_grouped,GPL96,GSM1012460_A1423UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012461,Primary Tumor A1516AR4,Primary Tumor,primary_tumor,A1516,A1516,patient_grouped,GPL96,GSM1012461_A1516AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012462,Primary Tumor A1644AR4,Primary Tumor,primary_tumor,A1644,A1644,patient_grouped,GPL96,GSM1012462_A1644AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012463,Primary Tumor A1716AR4,Primary Tumor,primary_tumor,A1716,A1716,patient_grouped,GPL96,GSM1012463_A1716AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012464,Polyp A1853BR3,Polyp,polyp,A1853,A1853,patient_grouped,GPL96,GSM1012464_A1853BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012465,Normal Colon A1853HR2,Normal Colon,normal_colon,A1853,A1853,patient_grouped,GPL96,GSM1012465_A1853HR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012466,Normal Colon a2191hr,Normal Colon,normal_colon,A2191,A2191,patient_grouped,GPL96,GSM1012466_a2191hr.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012467,Primary Tumor A2226AR4,Primary Tumor,primary_tumor,A2226,A2226,patient_grouped,GPL96,GSM1012467_A2226AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012468,Primary Tumor A2367AR4,Primary Tumor,primary_tumor,A2367,A2367,patient_grouped,GPL96,GSM1012468_A2367AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012469,Primary Tumor A2434AR3,Primary Tumor,primary_tumor,A2434,A2434,patient_grouped,GPL96,GSM1012469_A2434AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012470,Liver Metastasis A2561UR4,Liver Metastasis,liver_metastasis,A2561,A2561,patient_grouped,GPL96,GSM1012470_A2561UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012471,Primary Tumor A2715AR3,Primary Tumor,primary_tumor,A2715,A2715,patient_grouped,GPL96,GSM1012471_A2715AR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012472,Liver Metastasis A3203UR4,Liver Metastasis,liver_metastasis,A3203,A3203,patient_grouped,GPL96,GSM1012472_A3203UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012473,Polyp A3443BR4,Polyp,polyp,A3443,A3443,patient_grouped,GPL96,GSM1012473_A3443BR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012474,Primary Tumor A3536AR4,Primary Tumor,primary_tumor,A3536,A3536,patient_grouped,GPL96,GSM1012474_A3536AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012475,Liver Metastasis A3622UR4,Liver Metastasis,liver_metastasis,A3622,A3622,patient_grouped,GPL96,GSM1012475_A3622UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012476,Liver Metastasis A3684UR4,Liver Metastasis,liver_metastasis,A3684,A3684,patient_grouped,GPL96,GSM1012476_A3684UR4.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012477,Polyp A4177BR3,Polyp,polyp,A4177,A4177,patient_grouped,GPL96,GSM1012477_A4177BR3.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012478,Primary Tumor A4248AR4,Primary Tumor,primary_tumor,A4248,A4248,patient_grouped,GPL96,GSM1012478_A4248AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012479,Primary Tumor A4342AR4,Primary Tumor,primary_tumor,A4342,A4342,patient_grouped,GPL96,GSM1012479_A4342AR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012480,Liver Metastasis A4396UR4,Liver Metastasis,liver_metastasis,A4396,A4396,patient_grouped,GPL96,GSM1012480_A4396UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012481,Polyp A4410BR3,Polyp,polyp,A4410,A4410,patient_grouped,GPL96,GSM1012481_A4410BR3.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012482,Polyp A4410BR3_ren,Polyp,polyp,A4410,A4410,patient_grouped,GPL96,GSM1012482_A4410BR3_ren.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012483,Normal Colon A4410HR2,Normal Colon,normal_colon,A4410,A4410,patient_grouped,GPL96,GSM1012483_A4410HR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012484,Liver Metastasis A4674UR4,Liver Metastasis,liver_metastasis,A4674,A4674,patient_grouped,GPL96,GSM1012484_A4674UR4.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
