probe_id,gene_symbol_raw,entrez_id_raw,gene_symbol,entrez_id
209255_at,KLHDC10,23008,KLHDC10,23008
209256_s_at,KLHDC10,23008,KLHDC10,23008
210111_s_at,KLHDC10,23008,KLHDC10,23008
217906_at,KLHDC2,23588,KLHDC2,23588
208784_s_at,KLHDC3,116138,KLHDC3,116138
214383_x_at,KLHDC3,116138,KLHDC3,116138
221219_s_at,KLHDC4,54758,KLHDC4,54758
219331_s_at,KLHDC8A,55220,KLHDC8A,55220
216391_s_at,KLHL1,57626,KLHL1,57626
220657_at,KLHL11,55175,KLHL11,55175
219931_s_at,KLHL12,59349,KLHL12,59349
207976_at,KLHL18,23276,KLHL18,23276
212882_at,KLHL18,23276,KLHL18,23276
219157_at,KLHL2,11275,KLHL2,11275
204176_at,KLHL20,27252,KLHL20,27252
204177_s_at,KLHL20,27252,KLHL20,27252
210634_at,KLHL20,27252,KLHL20,27252
210635_s_at,KLHL20,27252,KLHL20,27252
203068_at,KLHL21,9903,KLHL21,9903
221837_at,KLHL22,84861,KLHL22,84861
221838_at,KLHL22,84861,KLHL22,84861
221948_s_at,KLHL22,84861,KLHL22,84861
222141_at,KLHL22,84861,KLHL22,84861
49329_at,KLHL22,84861,KLHL22,84861
206551_x_at,KLHL24,54800,KLHL24,54800
221985_at,KLHL24,54800,KLHL24,54800
221986_s_at,KLHL24,54800,KLHL24,54800
210307_s_at,KLHL25,64410,KLHL25,64410
219354_at,KLHL26,55295,KLHL26,55295
220374_at,KLHL28,54813,KLHL28,54813
220348_at,KLHL29,114818,KLHL29,114818
221221_s_at,KLHL3,26249,KLHL3,26249
214208_at,KLHL35,283212,KLHL35,283212
215748_at,KLHL35,283212,KLHL35,283212
219453_at,KLHL36,79786,KLHL36,79786
214591_at,KLHL4,56062,KLHL4,56062
219106_s_at,KLHL41,10324,KLHL41,10324
220682_s_at,KLHL5,51088,KLHL5,51088
220238_s_at,KLHL7,55975,KLHL7,55975
220239_at,KLHL7,55975,KLHL7,55975
213117_at,KLHL9,55958,KLHL9,55958
213233_s_at,KLHL9,55958,KLHL9,55958
216699_s_at,KLK1,3816,KLK1,3816
209792_s_at,KLK10,5655,KLK10,5655
215808_at,KLK10,5655,KLK10,5655
205470_s_at,KLK11,11012,KLK11,11012
220782_x_at,KLK12,43849,KLK12,43849
205783_at,KLK13,26085,KLK13,26085
216670_at,KLK13,26085,KLK13,26085
217315_s_at,KLK13,26085,KLK13,26085
220573_at,KLK14,43847,KLK14,43847
221462_x_at,KLK15,55554,KLK15,55554
209854_s_at,KLK2,3817,KLK2,3817
209855_s_at,KLK2,3817,KLK2,3817
210339_s_at,KLK2,3817,KLK2,3817
204582_s_at,KLK3,354,KLK3,354
204583_x_at,KLK3,354,KLK3,354
222242_s_at,KLK5,25818,KLK5,25818
204733_at,KLK6,5653,KLK6,5653
205778_at,KLK7,5650,KLK7,5650
206125_s_at,KLK8,11202,KLK8,11202
206541_at,KLKB1,3818,KLKB1,3818
207229_at,KLRA1P,10748,KLRA1P,10748
214470_at,KLRB1,3820,KLRB1,3820
206785_s_at,KLRC2///KLRC1,3822///3821,KLRC2///KLRC1,3822///3821
207723_s_at,KLRC3,3823,KLRC3,3823
210690_at,KLRC4,8302,KLRC4,8302
205821_at,KLRC4-KLRK1///KLRK1,100528032///22914,KLRC4-KLRK1///KLRK1,100528032///22914
207795_s_at,KLRD1,3824,KLRD1,3824
207796_x_at,KLRD1,3824,KLRD1,3824
210606_x_at,KLRD1,3824,KLRD1,3824
220646_s_at,KLRF1,51348,KLRF1,51348
210288_at,KLRG1,10219,KLRG1,10219
205306_x_at,KMO,8564,KMO,8564
205307_s_at,KMO,8564,KMO,8564
211138_s_at,KMO,8564,KMO,8564
212076_at,KMT2A,4297,KMT2A,4297
212078_s_at,KMT2A,4297,KMT2A,4297
212079_s_at,KMT2A,4297,KMT2A,4297
212080_at,KMT2A,4297,KMT2A,4297
216624_s_at,KMT2A,4297,KMT2A,4297
203419_at,KMT2B,9757,KMT2B,9757
217069_at,KMT2B,9757,KMT2B,9757
217075_x_at,KMT2B,9757,KMT2B,9757
211790_s_at,KMT2D,8085,KMT2D,8085
216382_s_at,KMT2D,8085,KMT2D,8085
216845_x_at,KMT2D,8085,KMT2D,8085
220200_s_at,KMT5A,387893,KMT5A,387893
218242_s_at,KMT5B,51111,KMT5B,51111
206054_at,KNG1,3827,KNG1,3827
217512_at,KNG1,3827,KNG1,3827
220247_at,KNL1,57082,KNL1,57082
213235_at,KNOP1,400506,KNOP1,400506
213237_at,KNOP1,400506,KNOP1,400506
206316_s_at,KNTC1,9735,KNTC1,9735
202055_at,KPNA1,3836,KPNA1,3836
202056_at,KPNA1,3836,KPNA1,3836
202057_at,KPNA1,3836,KPNA1,3836
202058_s_at,KPNA1,3836,KPNA1,3836
202059_s_at,KPNA1,3836,KPNA1,3836
213741_s_at,KPNA1,3836,KPNA1,3836
201088_at,KPNA2,3838,KPNA2,3838
211762_s_at,KPNA2,3838,KPNA2,3838
221502_at,KPNA3,3839,KPNA3,3839
221503_s_at,KPNA3,3839,KPNA3,3839
209653_at,KPNA4,3840,KPNA4,3840
213567_at,KPNA4,3840,KPNA4,3840
206241_at,KPNA5,3841,KPNA5,3841
212101_at,KPNA6,23633,KPNA6,23633
212102_s_at,KPNA6,23633,KPNA6,23633
212103_at,KPNA6,23633,KPNA6,23633
208974_x_at,KPNB1,3837,KPNB1,3837
208975_s_at,KPNB1,3837,KPNB1,3837
213507_s_at,KPNB1,3837,KPNB1,3837
213573_at,KPNB1,3837,KPNB1,3837
213574_s_at,KPNB1,3837,KPNB1,3837
213803_at,KPNB1,3837,KPNB1,3837
220160_s_at,KPTN,11133,KPTN,11133
204009_s_at,KRAS,3845,KRAS,3845
204010_s_at,KRAS,3845,KRAS,3845
214352_s_at,KRAS,3845,KRAS,3845
206583_at,KRBOX4,55634,KRBOX4,55634
218303_x_at,KRCC1,51315,KRCC1,51315
