"accession","archive","archive_members","cel_members","unique_cel_names","extracted_cels","readable_cels","metadata_matches","status"
"GSE44076","GSE44076_RAW.tar",246,246,246,246,246,246,"PASS"
"GSE41258","GSE41258_RAW.tar",390,390,390,390,390,390,"PASS"
