accession,filename,relative_path,size_bytes,sha256,archive_member_count,processed_at_utc,software_environment,data_provenance
GSE41258,GSE41258_RAW.tar,data/raw/GSE41258/GSE41258_RAW.tar,1378918400,965cc38ccf8cf5f803de2bf3e15da0232fd629196cd5c9e75f415a106902576d,390,2026-08-07T21:53:36.750001+00:00,Python 3.12.10; Windows-11-10.0.26200-SP0,NCBI GEO deposited file
GSE41258,GSE41258_clinical_data.txt.gz,data/raw/GSE41258/GSE41258_clinical_data.txt.gz,3135,6ed90de8810b609d175c34b43443a64b6f973c9bf8aff85b7e666e16cbdb8194,,2026-08-07T21:53:36.750001+00:00,Python 3.12.10; Windows-11-10.0.26200-SP0,NCBI GEO deposited file
GSE41258,GSE41258_series_matrix.txt.gz,data/raw/GSE41258/GSE41258_series_matrix.txt.gz,17537584,95931c3bb5fef20e4e056e4e3b1c354aa9272a7e1c60e1fd54e2849b30bb582a,,2026-08-07T21:53:36.750001+00:00,Python 3.12.10; Windows-11-10.0.26200-SP0,NCBI GEO deposited file
GSE44076,GSE44076_RAW.tar,data/raw/GSE44076/GSE44076_RAW.tar,532213760,8db70acb37d0fc85e85d090459312c8e97960f3cdcd19d1998ee03fb6be5f522,246,2026-08-07T21:53:36.750001+00:00,Python 3.12.10; Windows-11-10.0.26200-SP0,NCBI GEO deposited file
GSE44076,GSE44076_series_matrix.txt.gz,data/raw/GSE44076/GSE44076_series_matrix.txt.gz,32596137,096db6c83516d01e39a8c1e3b84b2b3759d9edb133e0ce40807251a69b2671bb,,2026-08-07T21:53:36.750001+00:00,Python 3.12.10; Windows-11-10.0.26200-SP0,NCBI GEO deposited file
