"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE41258","GSE41258_RAW.tar","GSM1012312_02779AR1.CEL.gz","GSM1012312","data/interim/cel/GSE41258/GSM1012312_02779AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012313_02779BR1.CEL.gz","GSM1012313","data/interim/cel/GSE41258/GSM1012313_02779BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012314_02815AR1.CEL.gz","GSM1012314","data/interim/cel/GSE41258/GSM1012314_02815AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012315_02815HR1.CEL.gz","GSM1012315","data/interim/cel/GSE41258/GSM1012315_02815HR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012316_02832AR1.CEL.gz","GSM1012316","data/interim/cel/GSE41258/GSM1012316_02832AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012317_03023AR1.CEL.gz","GSM1012317","data/interim/cel/GSE41258/GSM1012317_03023AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012318_03023HR1.CEL.gz","GSM1012318","data/interim/cel/GSE41258/GSM1012318_03023HR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012319_03156AR1.CEL.gz","GSM1012319","data/interim/cel/GSE41258/GSM1012319_03156AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012320_03283AR1.CEL.gz","GSM1012320","data/interim/cel/GSE41258/GSM1012320_03283AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012321_03358VR1.CEL.gz","GSM1012321","data/interim/cel/GSE41258/GSM1012321_03358VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012322_03393AR1.CEL.gz","GSM1012322","data/interim/cel/GSE41258/GSM1012322_03393AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012323_03393BR1.CEL.gz","GSM1012323","data/interim/cel/GSE41258/GSM1012323_03393BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012324_03401AR1.CEL.gz","GSM1012324","data/interim/cel/GSE41258/GSM1012324_03401AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012325_03465AR3.CEL.gz","GSM1012325","data/interim/cel/GSE41258/GSM1012325_03465AR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012326_03519AR2.CEL.gz","GSM1012326","data/interim/cel/GSE41258/GSM1012326_03519AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012327_03519HR2.CEL.gz","GSM1012327","data/interim/cel/GSE41258/GSM1012327_03519HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012328_03531AR2.CEL.gz","GSM1012328","data/interim/cel/GSE41258/GSM1012328_03531AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012329_03598BR2.CEL.gz","GSM1012329","data/interim/cel/GSE41258/GSM1012329_03598BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012330_03598HR2.CEL.gz","GSM1012330","data/interim/cel/GSE41258/GSM1012330_03598HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012331_03637AR2.CEL.gz","GSM1012331","data/interim/cel/GSE41258/GSM1012331_03637AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012332_03637BR2.CEL.gz","GSM1012332","data/interim/cel/GSE41258/GSM1012332_03637BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012333_03637HR2.CEL.gz","GSM1012333","data/interim/cel/GSE41258/GSM1012333_03637HR2.CEL.gz",TRUE,TRUE
