"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"1007_s_at","DDR1","780",1,1,"mapped_unique"
"1053_at","RFC2","5982",1,1,"mapped_unique"
"117_at","HSPA6","3310",1,1,"mapped_unique"
"121_at","PAX8","7849",1,1,"mapped_unique"
"1255_g_at","GUCA1A","2978",1,1,"mapped_unique"
"1294_at","UBA7","7318",1,1,"mapped_unique"
"1316_at","THRA","7067",1,1,"mapped_unique"
"1320_at","PTPN21","11099",1,1,"mapped_unique"
"1405_i_at","CCL5","6352",1,1,"mapped_unique"
"1431_at","CYP2E1","1571",1,1,"mapped_unique"
"1438_at","EPHB3","2049",1,1,"mapped_unique"
"1487_at","ESRRA","2101",1,1,"mapped_unique"
"1494_f_at","CYP2A6","1548",1,1,"mapped_unique"
"1598_g_at","GAS6","2621",1,1,"mapped_unique"
"160020_at","MMP14","4323",1,1,"mapped_unique"
"1729_at","TRADD","8717",1,1,"mapped_unique"
"177_at","PLD1","5337",1,1,"mapped_unique"
"1773_at","CHURC1-FNTB","100529261",2,2,"ambiguous"
"1773_at","FNTB","2342",2,2,"ambiguous"
"179_at","DTX2P1-UPK3BP1-PMS2P11","441263",1,1,"mapped_unique"
"1861_at","BAD","572",1,1,"mapped_unique"
"200000_s_at","PRPF8","10594",1,1,"mapped_unique"
"200001_at","CAPNS1","826",1,1,"mapped_unique"
"200002_at","RPL35","11224",1,1,"mapped_unique"
"200003_s_at","RPL28","6158",1,1,"mapped_unique"
"200004_at","EIF4G2","1982",1,1,"mapped_unique"
"200005_at","EIF3D","8664",1,1,"mapped_unique"
"200006_at","PARK7","11315",1,1,"mapped_unique"
"200007_at","SRP14","6727",1,1,"mapped_unique"
"200008_s_at","GDI2","2665",1,1,"mapped_unique"
"200009_at","GDI2","2665",1,1,"mapped_unique"
"200010_at","RPL11","6135",1,1,"mapped_unique"
"200011_s_at","ARF3","377",1,1,"mapped_unique"
"200012_x_at","RPL21","6144",2,2,"ambiguous"
"200012_x_at","RPL21P28","100131205",2,2,"ambiguous"
"200013_at","RPL24","6152",1,1,"mapped_unique"
"200014_s_at","HNRNPC","3183",1,1,"mapped_unique"
"200015_s_at","SEPTIN2","4735",1,1,"mapped_unique"
"200016_x_at","HNRNPA1","3178",1,1,"mapped_unique"
"200017_at","RPS27A","6233",1,1,"mapped_unique"
"200018_at","RPS13","6207",1,1,"mapped_unique"
"200019_s_at","FAU","2197",1,1,"mapped_unique"
"200020_at","TARDBP","23435",1,1,"mapped_unique"
"200021_at","CFL1","1072",1,1,"mapped_unique"
"200022_at","RPL18","6141",1,1,"mapped_unique"
"200023_s_at","EIF3F","8665",1,1,"mapped_unique"
"200024_at","RPS5","6193",1,1,"mapped_unique"
"200025_s_at","RPL27","6155",1,1,"mapped_unique"
"200026_at","RPL34","6164",1,1,"mapped_unique"
"200027_at","NARS1","4677",1,1,"mapped_unique"
"200028_s_at","STARD7","56910",1,1,"mapped_unique"
"200029_at","RPL19","6143",1,1,"mapped_unique"
"200030_s_at","SLC25A3","5250",1,1,"mapped_unique"
"200031_s_at","RPS11","6205",1,1,"mapped_unique"
"200032_s_at","RPL9","6133",1,1,"mapped_unique"
"200033_at","DDX5","1655",1,1,"mapped_unique"
"200034_s_at","RPL6","6128",2,2,"ambiguous"
"200034_s_at","RPL6P27","645387",2,2,"ambiguous"
"200035_at","CTDNEP1","23399",1,1,"mapped_unique"
"200036_s_at","RPL10A","4736",1,1,"mapped_unique"
"200037_s_at","CBX3","11335",1,1,"mapped_unique"
"200038_s_at","C18orf32","497661",3,3,"ambiguous"
"200038_s_at","RPL17","6139",3,3,"ambiguous"
"200038_s_at","RPL17-C18orf32","100526842",3,3,"ambiguous"
"200039_s_at","PSMB2","5690",1,1,"mapped_unique"
"200040_at","KHDRBS1","10657",1,1,"mapped_unique"
"200041_s_at","ATP6V1G2-DDX39B","100532737",2,2,"ambiguous"
"200041_s_at","DDX39B","7919",2,2,"ambiguous"
"200042_at","RTCB","51493",1,1,"mapped_unique"
"200043_at","ERH","2079",1,1,"mapped_unique"
"200044_at","SRSF9","8683",1,1,"mapped_unique"
"200045_at","ABCF1","23",1,1,"mapped_unique"
"200046_at","DAD1","1603",1,1,"mapped_unique"
"200047_s_at","YY1","7528",1,1,"mapped_unique"
"200048_s_at","JTB","10899",1,1,"mapped_unique"
"200049_at","KAT7","11143",1,1,"mapped_unique"
"200050_at","ZNF146","7705",1,1,"mapped_unique"
"200051_at","SART1","9092",1,1,"mapped_unique"
"200052_s_at","ILF2","3608",1,1,"mapped_unique"
"200053_at","SPAG7","9552",1,1,"mapped_unique"
"200054_at","ZPR1","8882",1,1,"mapped_unique"
"200055_at","TAF10","6881",1,1,"mapped_unique"
"200056_s_at","C1D","10438",1,1,"mapped_unique"
"200057_s_at","NONO","4841",1,1,"mapped_unique"
"200058_s_at","SNRNP200","23020",1,1,"mapped_unique"
"200059_s_at","RHOA","387",1,1,"mapped_unique"
"200060_s_at","RNPS1","10921",1,1,"mapped_unique"
"200061_s_at","RPS24","6229",1,1,"mapped_unique"
"200062_s_at","RPL30","6156",1,1,"mapped_unique"
"200063_s_at","NPM1","4869",1,1,"mapped_unique"
"200064_at","HSP90AB1","3326",1,1,"mapped_unique"
"200065_s_at","ARF1","375",1,1,"mapped_unique"
"200066_at","IK","3550",1,1,"mapped_unique"
"200067_x_at","SNX3","8724",1,1,"mapped_unique"
"200068_s_at","CANX","821",1,1,"mapped_unique"
"200069_at","SART3","9733",1,1,"mapped_unique"
"200070_at","CNPPD1","27013",1,1,"mapped_unique"
"200071_at","SMNDC1","10285",1,1,"mapped_unique"
"200072_s_at","HNRNPM","4670",1,1,"mapped_unique"
