"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715180_s_at","CGB2","114336",2,2,"ambiguous"
"11715181_x_at","KRTAP10-9","386676",1,1,"mapped_unique"
"11715182_x_at","FAM86C1P","55199",1,1,"mapped_unique"
"11715183_s_at","ZNF391","346157",1,1,"mapped_unique"
"11715184_x_at","RPL38","6169",1,1,"mapped_unique"
"11715185_x_at","PRB1","5542",1,1,"mapped_unique"
"11715186_x_at","PRB1","5542",1,1,"mapped_unique"
"11715187_x_at","PRB1","5542",1,1,"mapped_unique"
"11715188_at","H3-5","440093",1,1,"mapped_unique"
"11715189_s_at","H3-3A","3020",4,4,"ambiguous"
"11715189_s_at","H3-3B","3021",4,4,"ambiguous"
"11715189_s_at","H3-5","440093",4,4,"ambiguous"
"11715189_s_at","MIR4738","100616282",4,4,"ambiguous"
"11715190_s_at","FAM221A","340277",1,1,"mapped_unique"
"11715191_s_at","FAM221A","340277",1,1,"mapped_unique"
"11715192_s_at","FAM221A","340277",1,1,"mapped_unique"
"11715193_s_at","UNCX","340260",1,1,"mapped_unique"
"11715194_s_at","ZNF835","90485",1,1,"mapped_unique"
"11715195_at","IMPACT","55364",1,1,"mapped_unique"
"11715196_s_at","LHFPL7","255349",1,1,"mapped_unique"
"11715197_s_at","PYGO1","26108",1,1,"mapped_unique"
"11715198_s_at","DBET","100419743",11,11,"ambiguous"
"11715198_s_at","DUX4","100288687",11,11,"ambiguous"
"11715198_s_at","DUX4L1","22947",11,11,"ambiguous"
"11715198_s_at","DUX4L2","728410",11,11,"ambiguous"
"11715198_s_at","DUX4L24","102723449",11,11,"ambiguous"
"11715198_s_at","DUX4L3","653548",11,11,"ambiguous"
"11715198_s_at","DUX4L4","441056",11,11,"ambiguous"
"11715198_s_at","DUX4L5","653545",11,11,"ambiguous"
"11715198_s_at","DUX4L6","653544",11,11,"ambiguous"
"11715198_s_at","DUX4L7","653543",11,11,"ambiguous"
"11715198_s_at","DUX4L8","26583",11,11,"ambiguous"
"11715199_s_at","DBET","100419743",11,11,"ambiguous"
"11715199_s_at","DUX4","100288687",11,11,"ambiguous"
"11715199_s_at","DUX4L1","22947",11,11,"ambiguous"
"11715199_s_at","DUX4L2","728410",11,11,"ambiguous"
"11715199_s_at","DUX4L24","102723449",11,11,"ambiguous"
"11715199_s_at","DUX4L3","653548",11,11,"ambiguous"
"11715199_s_at","DUX4L4","441056",11,11,"ambiguous"
"11715199_s_at","DUX4L5","653545",11,11,"ambiguous"
"11715199_s_at","DUX4L6","653544",11,11,"ambiguous"
"11715199_s_at","DUX4L7","653543",11,11,"ambiguous"
"11715199_s_at","DUX4L8","26583",11,11,"ambiguous"
"11715200_s_at","DBET","100419743",11,11,"ambiguous"
"11715200_s_at","DUX4","100288687",11,11,"ambiguous"
"11715200_s_at","DUX4L1","22947",11,11,"ambiguous"
"11715200_s_at","DUX4L2","728410",11,11,"ambiguous"
"11715200_s_at","DUX4L24","102723449",11,11,"ambiguous"
"11715200_s_at","DUX4L3","653548",11,11,"ambiguous"
"11715200_s_at","DUX4L4","441056",11,11,"ambiguous"
"11715200_s_at","DUX4L5","653545",11,11,"ambiguous"
"11715200_s_at","DUX4L6","653544",11,11,"ambiguous"
"11715200_s_at","DUX4L7","653543",11,11,"ambiguous"
"11715200_s_at","DUX4L8","26583",11,11,"ambiguous"
"11715201_s_at","DBET","100419743",11,11,"ambiguous"
"11715201_s_at","DUX4","100288687",11,11,"ambiguous"
"11715201_s_at","DUX4L1","22947",11,11,"ambiguous"
"11715201_s_at","DUX4L2","728410",11,11,"ambiguous"
"11715201_s_at","DUX4L24","102723449",11,11,"ambiguous"
"11715201_s_at","DUX4L3","653548",11,11,"ambiguous"
"11715201_s_at","DUX4L4","441056",11,11,"ambiguous"
"11715201_s_at","DUX4L5","653545",11,11,"ambiguous"
"11715201_s_at","DUX4L6","653544",11,11,"ambiguous"
"11715201_s_at","DUX4L7","653543",11,11,"ambiguous"
"11715201_s_at","DUX4L8","26583",11,11,"ambiguous"
"11715202_s_at","TCEAL1","9338",1,1,"mapped_unique"
"11715203_s_at","ATP13A5","344905",1,1,"mapped_unique"
"11715204_x_at","H2AC20","8338",1,1,"mapped_unique"
"11715205_x_at","PSG4","5672",1,1,"mapped_unique"
"11715206_x_at","PSG4","5672",1,1,"mapped_unique"
"11715207_at","WDFY4","57705",1,1,"mapped_unique"
"11715208_s_at","CLCN6","1185",1,1,"mapped_unique"
"11715209_s_at","SCAND1","51282",1,1,"mapped_unique"
"11715210_s_at","PNMA8A","55228",1,1,"mapped_unique"
"11715211_s_at","ZNF680","340252",1,1,"mapped_unique"
"11715212_x_at","SCAND1","51282",1,1,"mapped_unique"
"11715213_s_at","DUX1","26584",3,3,"ambiguous"
"11715213_s_at","DUX3","26582",3,3,"ambiguous"
"11715213_s_at","DUX5","26581",3,3,"ambiguous"
"11715214_at","MARK4","57787",1,1,"mapped_unique"
"11715215_s_at","GRK7","131890",1,1,"mapped_unique"
"11715216_s_at","UGT2B28","54490",1,1,"mapped_unique"
"11715217_s_at","MOGAT2","80168",1,1,"mapped_unique"
"11715218_s_at","RTL8C","8933",1,1,"mapped_unique"
"11715219_s_at","H2AC11","8969",6,6,"ambiguous"
"11715219_s_at","H2AC12","85235",6,6,"ambiguous"
"11715219_s_at","H2AC13","8329",6,6,"ambiguous"
"11715219_s_at","H2AC15","8330",6,6,"ambiguous"
"11715219_s_at","H2AC16","8332",6,6,"ambiguous"
"11715219_s_at","H2AC17","8336",6,6,"ambiguous"
"11715220_s_at","WDCP","80304",1,1,"mapped_unique"
"11715221_x_at","NSUN5","55695",1,1,"mapped_unique"
"11715222_at","MAGI3","260425",1,1,"mapped_unique"
"11715223_s_at","RNASE8","122665",1,1,"mapped_unique"
"11715224_s_at","ACOXL","55289",1,1,"mapped_unique"
"11715225_s_at","VPS54","51542",1,1,"mapped_unique"
"11715226_s_at","PCDHA5","56143",2,2,"ambiguous"
"11715226_s_at","PCDHA6","56142",2,2,"ambiguous"
"11715227_s_at","PCDHA4","56144",2,2,"ambiguous"
"11715227_s_at","PCDHA7","56141",2,2,"ambiguous"
"11715228_s_at","SLC51B","123264",1,1,"mapped_unique"
"11715229_s_at","GRIP2","80852",1,1,"mapped_unique"
"11715230_s_at","PARD6A","50855",1,1,"mapped_unique"
"11715231_x_at","RPL36","25873",1,1,"mapped_unique"
"11715232_x_at","RPL36","25873",1,1,"mapped_unique"
"11715233_s_at","SPATC1L","84221",1,1,"mapped_unique"
"11715234_s_at","UCN","7349",1,1,"mapped_unique"
"11715235_x_at","UQCRHL","440567",1,1,"mapped_unique"
"11715236_s_at","PCDHGA12","26025",1,1,"mapped_unique"
"11715237_s_at","RPL9","6133",2,2,"ambiguous"
"11715237_s_at","TIPIN","54962",2,2,"ambiguous"
"11715238_x_at","RPL9","6133",1,1,"mapped_unique"
"11715239_x_at","IFITM3","10410",1,1,"mapped_unique"
"11715240_at","ZNF184","7738",1,1,"mapped_unique"
"11715241_s_at","LCE1D","353134",1,1,"mapped_unique"
"11715242_s_at","LCE3D","84648",1,1,"mapped_unique"
"11715243_x_at","LCE1F","353137",1,1,"mapped_unique"
"11715244_x_at","LCE1A","353131",1,1,"mapped_unique"
"11715245_s_at","IGLL1","3543",1,1,"mapped_unique"
"11715246_x_at","ADGRB1","575",1,1,"mapped_unique"
"11715247_s_at","DEPDC5","9681",1,1,"mapped_unique"
